5' Partner, 3' Partner
TAF15,NR4A3
TCEA1_ENST00000521604,PLAG1
TCF12,NR4A3
TCF3,PBX1
TECTA,TBCEL
TFG,ALK
TFG,NR4A3
TFG,NTRK1_ENST00000392302
THRAP3,USP6_ENST00000250066
TMPRSS2,ERG
TMPRSS2,ETV1
TMPRSS2,ETV4
TMPRSS2,ETV5_ENST00000306376
TP53,NTRK1_ENST00000392302
TPM3,ALK
TPM3,NTRK1_ENST00000392302
TPM3,ROS1
TPM3_ENST00000368530,ROS1
TPM4,ALK
TRIM24,RET
TRIM27,RET
TRIM33_ENST00000358465,RET
UBE2L3,KRAS
VCL,ALK
VTI1A,TCF7L2
YWHAE_ENST00000264335,FAM22A_ENST00000381707
YWHAE_ENST00000264335,NUTM2B
ZC3H7B,BCOR_ENST00000378444
ZCCHC8,ROS1
ZNF700,MAST1_ENST00000251472
ZSCAN30,BRAF
