patientId,sampleId,hmfSampleId,deleted,sampleHash
46,1,HMF000046A,false,76fc91611d65ebc06e20775cfb15e919e56495548c2fab1361cfcabb9b6a62f3
47,1,HMF000047A,false,a0860c07394cf2502f87db92b09d6fc3feae4d21c2d9f5562f95dece94d66dc2
48,1,HMF000048A,false,65c0f98b111a6302fae32210656773445c77b250af5190e1c678bed8937dbec4
49,1,HMF000049A,false,87d5441e5a0d5ea67a809a0bdb8efa63dff1f620db1e180d38a3aa9e9a220179
50,1,HMF000050A,false,176f53673c7f238aca3af0100a3ef1ded6dca963e155d23cf8bc9f70b9545cf6
51,1,HMF000051A,false,2ba247148bc7adce77ff75c720ab7922a52fba3e101a2bc402175f0345839f8c
52,1,HMF000052A,false,9cd41466b43a76b270b51f22070b087f7759cf9be2498aafa5b7995535d38399
53,1,HMF000053A,false,79bd92d0efd7a301986ed7dca6eff5bde112533239e3f96e0cdf91d5fee2e7de
54,1,HMF000054A,false,34ca3c59a359aca0f4b0cbefa4a7b4ae3d11fcfe972ca1c11fa28dd31f38782b
54,2,HMF000054B,false,ffb4b1998ff02a992b3b9c824d04ec106b5d5c1f5cf665b8f86e3e05cb9ca4cc
55,1,HMF000055A,false,4d888cc06165577c700a87f0c3525948586f7475312fbd5dbd5bd75bbfe89b73
55,2,HMF000055B,false,ad703285e481084dba733fe61d16c6e29f72e66a09ce360822dfd64492040403
56,1,HMF000056A,false,d37cfb5f4b4475a280622fb3515be8ec629d9c26550945adcd33d8add697786c
57,1,HMF000057A,false,346011172742904e37fc35713d385ce237d68fc90a08dd31c6d231d2887472b9
58,1,HMF000058A,false,5e43aaf57c67eeccd82018b16946944263b965c6d24f9401312edc675dcbb689
59,1,HMF000059A,false,7685e57acf4e2824ac3fbdc274b51c56e9fc536cdd77c8eb22462fbc220fc0cf
60,1,HMF000060A,false,e7b23a3c47f34b7b8efef91e5831fc625781ed1832403d9f25842e16d5fa0783
61,1,HMF000061A,false,0787ef63fe1c37727d9122cb1ca82bf31394888b5ec5cb7503ddfcf260b72f4a
61,2,HMF000061B,false,fc99ac0ae95720895a91a3c80293e43607fb79488ba0137f9fdb04158e4d302c
61,3,HMF000061C,false,eac3f4be1fd831b6b1995bbdca730f23bc1284667f20641c8cb96161e4241af0
62,1,HMF000062A,false,038fb0caa837cdabf6641a76c495d98849b8a39c37a47f503c8086f85053e35c
63,1,HMF000063A,false,a2498706dc50ab844e83d5717a03a736826d54093a9473d7fd2043be1309b5fa
63,2,HMF000063B,false,84cdaa94501269d79da7fb620cd18e9ff104f0aa0b59703d9fe6aa40f52cc657
64,1,HMF000064A,false,dd5f8aab0866374254015a1037b80d0362f6d51f1f75be4b69b7cbe43de64cde
65,1,HMF000065A,false,32066fcc9b60b559178b52efc37d864f2645ee55dc4d24167b70e53203b32e14
66,1,HMF000066A,false,da6c8e18a47de3fa42c54fda94500321e9bc67c04b0f44c8fc084c94c7282d23
67,1,HMF000067A,false,8a969c8da41fd1a10dfa0c1b510408d4dc0452f1b07d54036aabec088bf63326
68,1,HMF000068A,false,64a3aaf5dcbe8700a10dd8a01c05bc58ed878c8249affd27d4d627c967304b0d
69,1,HMF000069A,false,e7f984da732215547760e99e39dc52c0bad3200ead23e9c0385752e1e0fd4c8f
70,1,HMF000070A,false,e33d27b4bdfba65c17241b8447a40b8e15ed2b7dc51b35eef651815cac803e39
71,1,HMF000071A,false,1a757279051bbbda1c1a3f17cf4999753df96f5469d6caa1b7f9f0aca36ba09a
72,1,HMF000072A,false,e3c1306935d0b07fc3cfb30ebc3f18b1845dfef73c018c8ab35ed2a69e2a9e64
73,1,HMF000073A,false,e3c2caeaceb49c032736b054d9dbc57df180f544296067fcd303b44a3010a82d
74,1,HMF000074A,false,bf67b6e5c9a46456a9bbbfdb51d2074533322874e467cd6e5a388ec3bb9a3cc3
74,2,HMF000074B,false,75ba9322ec6b0b0cb3e40096af0f057d77d1c7596384fd9245ae7529ccf4c795
74,3,HMF000074C,false,9ee1023f570283cbc44519cbf8f1aa8052f9632359444b42bf2afc8ccdb3eeb7
75,1,HMF000075A,false,d7077bc0113fc4f2c649e8f504d9ffd38568a096804eb27dc92c2531425e68d1
76,1,HMF000076A,false,09ea5782895c800e366552d6b13bf62d7a35bdb5840b1cd4b14486b77c940657
77,1,HMF000077A,false,3b91e07ce039dd14cd6442e30bca52ee48506135a16c75c7713d8775eb642a56
78,1,HMF000078A,false,fe1a945f34a94abe3066f1fa6f90913287a864cb7ce0e303de9d3d18c5aec610
78,2,HMF000078B,false,0e67ac6ac13b6dec271db85c7f7da434dd4fc2a0fba5b8013bbfc829ddbd8288
79,1,HMF000079A,false,230d8eee4f52c9c6ceca7b362aff0c74409bfbc51e35b09e85469be6daf66bbf
80,1,HMF000080A,false,bb3fa81bff5e57a316f164b1c3a5d3a289bcef399d54e8c7a5f424c5e9c57a57
81,1,HMF000081A,false,e6a1fb386e53e25dd92c10bd4ab8d3e114514792bcafab5759b9e8a8da511fe6
82,1,HMF000082A,false,537c51bfbc1265366de94fc9e2ebf355570b16fcea518f5eadcb15bd6bee3fdd
83,1,HMF000083A,false,73e4a41e0d091b985d83469d147654673ee316ea8202aa1d216b317a39116a42
84,1,HMF000084A,false,95d56c81b4d032bd69542ea256de3a892c318640412d64ba80c7e264d06f4ac4
85,1,HMF000085A,false,c0032308a647234933f12161f3e5884bb7b63aeb3a2516f08fcec9119bdf0eb1
86,1,HMF000086A,false,7368f6810d9a781873de4e8a664630dd6132ccce4082938472636a3d17fa1723
87,1,HMF000087A,false,cc9511d4913dec92ab9d7882760d8fd6f185947f09f0170554511b96b2e1f4b5
88,1,HMF000088A,false,654b97b8a57edc0ba15713e0d1af022be88ac0c89c28ab378bb6bad1889d0622
89,1,HMF000089A,false,80a9361b847802039f9c3d5761c18f5efe36f8146543e134304a4e2d98d7a3e1
90,1,HMF000090A,false,2095b66d1475570e3854fa1ec307b890d293a16e2d45027efe6f5169d7700aa5
91,1,HMF000091A,false,f56e757c72fe837ce04653cb08c41f37380d8c32a58c36e5915b15e1098b55d8
92,1,HMF000092A,false,4dc331d6c7b6aa8b40e8acac7a7a7051450b09e43e606276a4f2e89a1af227b4
93,1,HMF000093A,false,6a1aa4a5c7e3cd859d35a86462dcd9c05d0a0f9a25a227c1493efb1af7b6b9b2
94,1,HMF000094A,false,0f7f7523c7e438efc2d6cf9597e4c90a11dc4f970bc5c675d83cfdbd82fe4acb
95,1,HMF000095A,false,86b5eb5a7b93f25cfac183018d3e7bd7fd0c16e91a20355cd5f0efd4930d43de
96,1,HMF000096A,false,0716f3574260f2dce8ce36f5adcc70b39ffa44e268913bb80f693a92417cfbfe
96,2,HMF000096B,false,f276cea34f199044692f6d5f2cf9a401afad1bd33e4e03984982b96e4bb83d04
97,1,HMF000097A,false,b5305c0a2ee8ae1ecf910d7d693debe6147cae8026d0a3e93c03f598bb6afc40
98,1,HMF000098A,false,bcdb32c859cafa7ec20f50c7fb424a8f1908cfb65653f5bcebf6c80a7fb59eec
99,1,HMF000099A,false,f1ad075499893f2d59cd2b11d94939fc9e8c629d89c5de1082ce4b76184f11b4
100,1,HMF000100A,false,eceac01c4f7c7e8d42d0278a447691e3f93ca9aeb1d99cd1b1fd7f7f3136e26d
101,1,HMF000101A,false,d075da384739ed6c390252ee13542dd8d2c9a5a5225881d5392e002a774a8ad3
102,1,HMF000102A,false,35e10a213e604a18aa04a55044e7bb25480ec58d1b65ab3e9b32a563c11789ea
103,1,HMF000103A,false,469bc08baf318cbfb4f065105f0087d13b3a6d405d1fa8aa12308e12e3dcf86d
104,1,HMF000104A,false,f08e37d3976202f9f20d37873a549ff6fd9e0b5555fdcec9b17f8c54ccea6940
105,1,HMF000105A,false,b0dbcc2d3b719b40754edc4a8bc1a5abf467293cbe0a8c40718d98492b888907
106,1,HMF000106A,false,a054b375dfce7b8c5f4ef025772d967fe0c5dd0df94725f898c81ceecc168160
107,1,HMF000107A,false,968105eab74766733a7b380fcb82bbc8aa1f38eb80717b53853c3f79e2e45857
108,1,HMF000108A,false,5edec75822bbe3f8261c3d8a965674511303e16eca189efbc0fd7c9a301cf55d
109,1,HMF000109A,false,3d7bc39b5212fd7fd248c3c0a6c22bf6929af7dd990c77488d72e3d75a18617e
110,1,HMF000110A,false,8d304a0baa58ebea6e65bf9ccd5ef8b658b576c0526d463e5a44a2c141d3cc13
111,1,HMF000111A,false,63885720c83777ddb1517d21d022b8575e177c14affa8cf1ba13cf475a04c327
112,1,HMF000112A,false,e0d481832dab72691ed20df0af678daa91380a4b9b62be1108bf721b1ea8b678
112,2,HMF000112B,false,36b8e29b8f0203aae4f944e7514b6cd6fe86791e05fee019c37cec2328e6f041
113,1,HMF000113A,false,685f9a59fa7c8172db8946ea5d1960be14d217a1200bed74fb3938b8becf91ca
114,1,HMF000114A,false,3497c9ec595fcadf680a08feca9632d7e9651179fd1b190a3b9acb952db678f2
115,1,HMF000115A,false,78025b854f65cb85ed21e7af1c16ec089942207959ba2639dd1dffb95aed23c5
116,1,HMF000116A,false,f4b9594bffcf69fd5461b30b7a34641268afba23d69da144f989b0507dbc3c3d
117,1,HMF000117A,false,812d74a44d85f02d92c84933b3f0b2a1983f4d9dd736220146d1da1cf2c3a379
118,1,HMF000118A,false,6c7116a610bd5b963951cc687a5c59f8fe748e735bb7f265b9833edc03c8c795
119,1,HMF000119A,false,7d2a3af6c9768441a0de7aa72e7748dc138fcffb75d04334bb879c40ebc95833
120,1,HMF000120A,false,be88343d18160752377fdc2972f718c4e404fa92e565515ae54fe5f6968322cb
121,1,HMF000121A,false,c142472d9245c0ceffc0ff7ff7989ddc7bba64688ab3e69d6fd4bfb45a286c16
122,1,HMF000122A,false,bae5a46c2f64653c5dc2904e6c94966163ea68b5d293fd4b2700d0a9f520e9b9
123,1,HMF000123A,false,7d59b625ce53890b6926d670000834d4f24a3ef94f8121356391bab5fdfecd13
124,1,HMF000124A,false,08988564af59fc452fbd373df0293b51f42e725c011f9f4342c998b126e4e117
125,1,HMF000125A,false,620f029bc7a1db74acdfed5280c4c54b2b1baad29daa4826097506c6c6d9120f
126,1,HMF000126A,false,bf42560150a9a9173f4bb2306f705d67d4fd87f757144cd69a22cba80b8a3214
127,1,HMF000127A,false,ec69f02b201f08a64f7b87869bde4369364b723dc768d800a9aa8e59eedd38ad
128,1,HMF000128A,false,1117c0ab26c459e395df2b116e1a7b8cc6838368422bf008daf826273a887d47
129,1,HMF000129A,false,eac5aca8e3240721b55961a20019172dfee2372560eaacfdf0e7868d1ef9a2bc
130,1,HMF000130A,false,2722e1bc9a84dbf04319c342777bbad27e17f15b8084eae726781fed7105384f
131,1,HMF000131A,false,6e090f67bd8efb582341fae6f5f66470126ff65128ba095c64fedc5ee8baf374
132,1,HMF000132A,false,a0cdd0ee635339233493ec1bd47b2c659818bddfa3156da9d1503fafd98e21d5
133,1,HMF000133A,false,a01c2a9b82a1fd868130f48682a31b87e967df32e14d4823ca2e1a0b481d725e
134,1,HMF000134A,false,c78c6fac29c93e5c972da2c80caa272bab822ee17360c4bb43dd35fdecc2e0c5
135,1,HMF000135A,false,fcdbf32f43a8ffb70e331a61aee3ad6c5241a50f605389ffe4b191acb42f3126
136,1,HMF000136A,false,d0ebc145b4db5a8cae18099266744e6af50845f31adfeda2be099845c651c0bd
137,1,HMF000137A,false,afb4fa20c4dbb08a813333a22d590f27ff6a43e99fa2b746180d0bdab63e2b81
138,1,HMF000138A,false,09e69e6ab48bc50aaeb2939d8533bde1d99ab20292ea9ae505312f540f044daa
139,1,HMF000139A,false,678e3cb93acbed06f4439a21487113fe06fe565e990780f2c3b60bd48d7151e5
140,1,HMF000140A,false,f1a58eb27336d8c527012d6f68883177fafd51266394ee2278917eab957c72b0
141,1,HMF000141A,false,6d9694401798672bc98c01765b8e8aa869faf8ea0b464002887b7d172810980b
142,1,HMF000142A,false,cdb919cdd8374c454890bfa8066083f6a17561d9afbd962ae94604c1fce16bba
143,1,HMF000143A,false,083d5a31325b7dffd48f315a156309761ab36ead73e1b897fd5940ac928dd775
144,1,HMF000144A,false,6c2cc89c93a90c98f3a9a11cf95cd93cc05b878b6ba7102a6fb2abc70154cb02
145,1,HMF000145A,false,2d280aaea2edcd0877a69abe4d2203e3c576e0236f23dec78e2f8722da161de0
