MutationType,ID11_GRCh37
1:Del:C:0,0.001576565
1:Del:C:1,0.000550318
1:Del:C:2,0.000357338
1:Del:C:3,9.08e-18
1:Del:C:4,9.08e-18
1:Del:C:5,0.000156465
1:Del:T:0,0.000944206
1:Del:T:1,0.000258505
1:Del:T:2,0.000516519
1:Del:T:3,0.00042568
1:Del:T:4,0.001932451
1:Del:T:5,0.006539395
1:Ins:C:0,0.000186238
1:Ins:C:1,0.163482884
1:Ins:C:2,0.093738843
1:Ins:C:3,0.03617564
1:Ins:C:4,0.011189789
1:Ins:C:5,0.003412242
1:Ins:T:0,0.000406945
1:Ins:T:1,0.314277276
1:Ins:T:2,0.161807823
1:Ins:T:3,0.107725327
1:Ins:T:4,0.04903068
1:Ins:T:5,0.023629043
2:Del:R:0,9.08e-18
2:Del:R:1,0.001363099
2:Del:R:2,0.000150729
2:Del:R:3,9.08e-18
2:Del:R:4,9.13e-06
2:Del:R:5,0.004527713
3:Del:R:0,0.000189442
3:Del:R:1,0.000390863
3:Del:R:2,0.000170422
3:Del:R:3,0.000127576
3:Del:R:4,0.001202108
3:Del:R:5,0.001742363
4:Del:R:0,9.08e-18
4:Del:R:1,0.000355504
4:Del:R:2,9.08e-18
4:Del:R:3,0.000312137
4:Del:R:4,0.000687366
4:Del:R:5,0.000157603
5:Del:R:0,0.001281454
5:Del:R:1,0.000474634
5:Del:R:2,9.08e-18
5:Del:R:3,9.08e-18
5:Del:R:4,9.08e-18
5:Del:R:5,8.18e-08
2:Ins:R:0,0.000190467
2:Ins:R:1,9.08e-18
2:Ins:R:2,0.000247885
2:Ins:R:3,0.000372356
2:Ins:R:4,0.000442384
2:Ins:R:5,0.000288801
3:Ins:R:0,9.08e-18
3:Ins:R:1,0.000207083
3:Ins:R:2,0.000221526
3:Ins:R:3,2.18e-05
3:Ins:R:4,9.08e-18
3:Ins:R:5,9.01e-05
4:Ins:R:0,0.000159621
4:Ins:R:1,0.000377636
4:Ins:R:2,9.08e-18
4:Ins:R:3,9.08e-18
4:Ins:R:4,9.08e-18
4:Ins:R:5,9.08e-18
5:Ins:R:0,0.00066606
5:Ins:R:1,0.00115191
5:Ins:R:2,0.000366007
5:Ins:R:3,8.34e-07
5:Ins:R:4,2.25e-06
5:Ins:R:5,1.84e-06
2:Del:M:1,0.000382064
3:Del:M:1,0.000200443
3:Del:M:2,0.000301744
4:Del:M:1,9.08e-18
4:Del:M:2,9.08e-18
4:Del:M:3,0.000789868
5:Del:M:1,0.000282794
5:Del:M:2,0.000372771
5:Del:M:3,0.000750127
5:Del:M:4,0.000130278
5:Del:M:5,0.000518955
2:Ins:M:1,0
3:Ins:M:1,0
3:Ins:M:2,0
4:Ins:M:1,0
4:Ins:M:2,0
4:Ins:M:3,0
5:Ins:M:1,0
5:Ins:M:2,0
5:Ins:M:3,0
5:Ins:M:4,0
5:Ins:M:5,0
complex,0
non_matching,0
