MutationType,ID7_GRCh37
1:Del:C:0,0.000466561
1:Del:C:1,0
1:Del:C:2,0.008561945
1:Del:C:3,0.042360147
1:Del:C:4,0.114891909
1:Del:C:5,0.251763142
1:Del:T:0,0.00266749
1:Del:T:1,0.007732725
1:Del:T:2,0.00025476
1:Del:T:3,0.028972742
1:Del:T:4,0.158850553
1:Del:T:5,1.92e-07
1:Ins:C:0,0.000672367
1:Ins:C:1,2.62e-05
1:Ins:C:2,2.58e-05
1:Ins:C:3,0.002407735
1:Ins:C:4,0.015485431
1:Ins:C:5,0.060343229
1:Ins:T:0,1.36e-06
1:Ins:T:1,0.000373648
1:Ins:T:2,0.018382706
1:Ins:T:3,0.008891635
1:Ins:T:4,0.012787969
1:Ins:T:5,0.010789849
2:Del:R:0,2.33e-05
2:Del:R:1,0.008182302
2:Del:R:2,0.008991541
2:Del:R:3,0.072132138
2:Del:R:4,0.052250842
2:Del:R:5,0.057046331
3:Del:R:0,0.000625412
3:Del:R:1,0.011689003
3:Del:R:2,0.005474849
3:Del:R:3,0.003456748
3:Del:R:4,0.000492537
3:Del:R:5,0.000436589
4:Del:R:0,0.000130877
4:Del:R:1,0.003396804
4:Del:R:2,0.002777387
4:Del:R:3,0.000439586
4:Del:R:4,0.00020181
4:Del:R:5,0.000250764
5:Del:R:0,8.55e-05
5:Del:R:1,0.003476729
5:Del:R:2,0.0011689
5:Del:R:3,0.000406617
5:Del:R:4,0.000125882
5:Del:R:5,2.08e-05
2:Ins:R:0,3.04e-05
2:Ins:R:1,0.000397626
2:Ins:R:2,7.01e-05
2:Ins:R:3,0.003147039
2:Ins:R:4,0.00182828
2:Ins:R:5,0.00024477
3:Ins:R:0,0
3:Ins:R:1,5.51e-06
3:Ins:R:2,5.47e-05
3:Ins:R:3,0.000177833
3:Ins:R:4,0.000415609
3:Ins:R:5,0.000769276
4:Ins:R:0,0
4:Ins:R:1,2.61e-05
4:Ins:R:2,0.000194817
4:Ins:R:3,0.000273742
4:Ins:R:4,0.000258757
4:Ins:R:5,8.74e-06
5:Ins:R:0,0
5:Ins:R:1,0
5:Ins:R:2,8.84e-06
5:Ins:R:3,4.46e-06
5:Ins:R:4,1.06e-05
5:Ins:R:5,4.28e-06
2:Del:M:1,0.003127058
3:Del:M:1,0.00025476
3:Del:M:2,0.004635639
4:Del:M:1,0.000183827
4:Del:M:2,0.001019041
4:Del:M:3,0.000717325
5:Del:M:1,2.36e-05
5:Del:M:2,0.000245769
5:Del:M:3,6.16e-05
5:Del:M:4,6.82e-05
5:Del:M:5,0.001738365
2:Ins:M:1,0
3:Ins:M:1,0
3:Ins:M:2,0
4:Ins:M:1,0
4:Ins:M:2,0
4:Ins:M:3,0
5:Ins:M:1,0
5:Ins:M:2,0
5:Ins:M:3,0
5:Ins:M:4,0
5:Ins:M:5,0
complex,0
non_matching,0
