gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
TLL1	0.0121137210981145	9.14526562553533e-07	0	9.43242532891232e-08	0.000190844316529857	3.56676156172676e-08	0	1.10782732627814e-07
TLL2	0	4.80196198562809e-07	0	1.7149864234386e-08	0	8.57493211719301e-09	0	1.38478415784767e-07
TLN1	0.00118923034804306	9.41207097372002e-07	0	3.42997284687721e-08	0	8.57493211719301e-09	0	1.38478415784767e-07
TLN2	0.00724272599306664	1.06417509831768e-06	0	2.5724796351579e-08	0	4.28746605859651e-08	0	1.6617409894172e-07
TLR1	0.00331998973306692	2.43345985293299e-07	0.000113490854155627	2.14389276167481e-08	0	0	0	2.76956831569534e-08
TLR10	0	3.51572216804914e-07	0.000156663345798883	2.8383493714448e-08	0	0	0	2.76956831569534e-08
TLR2	0	3.42997284687721e-07	0.000183664405005347	2.73638256863828e-08	0	0	0	5.53913663139068e-08
TLR3	0	3.08697556218949e-07	0.000590111640007153	2.91646161137818e-08	0.000196703880002384	9.72153870459392e-09	0	8.30870494708601e-08
TLR4	0.000350967308421519	8.4423928191762e-07	0	3.42997284687721e-08	0	0	0.00141764152739702	1.04044558846362e-07
TLR5	0	3.77297013156493e-07	0.000117298054310856	2.98700846233039e-08	0	0	0	5.53913663139068e-08
TLR6	0	3.25847420453335e-07	0	1.7149864234386e-08	0	0	0	2.76956831569534e-08
TLR7	0.00488670624235103	3.6425407586191e-07	0	8.57493211719301e-09	0	0	0	2.76956831569534e-08
TLR8	0	4.71621266445616e-07	0	0	0	0	0	0
TLR9	0	4.28746605859651e-07	0	1.7149864234386e-08	0	8.57493211719301e-09	0	2.76956831569534e-08
TLX1	0	1.45773845992281e-07	0	0	0	0	0	2.76956831569534e-08
TLX1NB	0.000934355885662669	5.90392366473803e-08	0.000107227088590948	4.5256082316867e-09	0	0	0	0
TLX2	0.000168312610514876	1.82292348979024e-07	0	0	2.15161741465065e-05	7.76239529425892e-09	0.000366447617582463	6.60864612745618e-08
TLX3	2.9761348294203e-05	1.78949666872997e-07	0	0	0	0	0	2.76956831569534e-08
TM2D1	0.000264518015068602	8.43349946918844e-08	0	0	0	0	0.000154062332287142	3.66001080853788e-08
TM2D2	0	5.14495927031581e-08	0.000199261319442034	9.62495955892472e-09	0	0	0.000441954816543856	2.91810300063577e-08
TM2D3	0	9.43242532891232e-08	1.75920574586949e-05	7.91058564095467e-09	0	0	0	0
TM4SF1	0	1.02899185406316e-07	0	0	0	0	1.57233123181302e-05	2.57778826304295e-08
TM4SF18	0.000829789765600937	8.0137935948957e-08	0	0	0	0	0	2.76956831569534e-08
TM4SF19	0.000367896201189606	8.04310207632718e-08	0	0	0	0	0	0
TM4SF2	2.10764371922676e-05	1.62127779630532e-07	0	0	0	0	1.41849542468724e-05	2.59655189159238e-08
