gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
ABCB1	0.000e+00	1.029e-06	0.000e+00	6.002e-08	0.000e+00	4.287e-08	0.000e+00	2.216e-07
ABCB10	0.000e+00	2.744e-07	0.000e+00	8.575e-09	0.000e+00	2.572e-08	0.000e+00	8.309e-08
ABCB11	2.193e-03	8.261e-07	9.978e-05	3.911e-08	9.978e-05	3.911e-08	1.391e-05	1.368e-07
ABCB4	2.044e-03	6.345e-07	3.049e-04	3.136e-08	4.268e-04	4.391e-08	9.070e-04	1.386e-07
ABCB5	7.384e-03	8.359e-07	0.000e+00	9.432e-08	0.000e+00	3.430e-08	0.000e+00	1.662e-07
ABCB6	2.052e-04	2.924e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.385e-07
ABCB7	1.170e-03	2.988e-07	0.000e+00	2.572e-08	0.000e+00	8.575e-09	0.000e+00	2.770e-08
ABCB8	0.000e+00	2.915e-07	0.000e+00	0.000e+00	0.000e+00	1.715e-08	0.000e+00	2.770e-08
ABCB9	3.891e-04	3.197e-07	0.000e+00	2.572e-08	0.000e+00	0.000e+00	0.000e+00	1.108e-07
ABCC1	6.221e-04	6.797e-07	4.873e-05	3.246e-08	2.436e-05	1.623e-08	0.000e+00	1.108e-07
ABCC10	3.974e-03	4.330e-07	1.218e-04	2.970e-08	3.046e-05	7.425e-09	0.000e+00	2.216e-07
ABCC11	0.000e+00	8.489e-07	0.000e+00	2.572e-08	0.000e+00	3.430e-08	0.000e+00	8.309e-08
ABCC12	0.000e+00	8.832e-07	0.000e+00	4.287e-08	0.000e+00	8.575e-09	0.000e+00	1.385e-07
ABCC2	3.118e-03	5.168e-07	5.738e-05	2.356e-08	5.738e-05	2.356e-08	0.000e+00	1.385e-07
ABCC3	0.000e+00	7.374e-07	1.005e-04	2.193e-08	2.345e-04	5.117e-08	0.000e+00	8.309e-08
ABCC4	2.190e-03	5.604e-07	6.662e-04	4.344e-08	4.996e-04	3.258e-08	0.000e+00	5.539e-08
ABCC5	0.000e+00	6.517e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	0.000e+00	1.108e-07
ABCC6	0.000e+00	7.546e-07	0.000e+00	2.572e-08	0.000e+00	2.572e-08	0.000e+00	1.662e-07
ABCC8	3.490e-03	8.458e-07	2.053e-05	4.210e-08	2.053e-05	4.210e-08	0.000e+00	2.770e-08
ABCC9	1.187e-02	7.606e-07	1.220e-03	6.542e-08	2.815e-04	1.510e-08	0.000e+00	1.385e-07
ABCD1	0.000e+00	3.173e-07	0.000e+00	8.575e-09	0.000e+00	8.575e-09	0.000e+00	0.000e+00
ABCD2	6.602e-03	2.480e-07	9.511e-04	2.411e-08	1.359e-04	3.444e-09	2.602e-04	7.905e-08
ABCD3	0.000e+00	1.972e-07	0.000e+00	0.000e+00	0.000e+00	3.430e-08	0.000e+00	2.770e-08
ABCD4	0.000e+00	1.886e-07	0.000e+00	8.575e-09	0.000e+00	1.715e-08	0.000e+00	0.000e+00
ABCE1	0.000e+00	1.372e-07	0.000e+00	2.572e-08	0.000e+00	1.715e-08	3.002e-04	7.416e-08
ABCF1	3.007e-04	3.231e-07	0.000e+00	3.430e-08	0.000e+00	1.715e-08	0.000e+00	1.108e-07
ABCF2	1.499e-03	1.921e-07	2.036e-04	1.803e-08	6.788e-05	6.011e-09	0.000e+00	2.770e-08
ABCF3	0.000e+00	2.144e-07	0.000e+00	2.572e-08	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABCG1	0.000e+00	2.915e-07	7.815e-05	2.277e-08	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABCG2	0.000e+00	2.572e-07	2.521e-05	1.620e-08	5.043e-05	3.240e-08	0.000e+00	0.000e+00
ABCG4	3.733e-03	2.878e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABCG5	2.408e-03	3.464e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.539e-08
ABCG8	2.877e-03	3.201e-07	1.564e-04	1.982e-08	5.213e-05	6.606e-09	0.000e+00	0.000e+00
ABHD1	1.823e-03	1.369e-07	0.000e+00	0.000e+00	0.000e+00	8.575e-09	0.000e+00	5.539e-08
ABHD10	9.311e-04	7.631e-08	1.128e-03	8.840e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
ABHD11	0.000e+00	1.286e-07	0.000e+00	8.575e-09	0.000e+00	1.715e-08	0.000e+00	2.770e-08
ABHD12	0.000e+00	1.372e-07	2.261e-05	1.630e-08	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD12B	2.139e-03	1.507e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	2.984e-04	4.668e-08
ABHD13	0.000e+00	1.458e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD14A	5.236e-05	8.377e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD14A-ACY1	0.000e+00	1.200e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD14B	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD15	0.000e+00	1.629e-07	3.597e-04	1.214e-08	0.000e+00	0.000e+00	0.000e+00	5.539e-08
ABHD16A	0.000e+00	9.432e-08	3.770e-04	2.006e-08	0.000e+00	8.575e-09	9.390e-05	7.163e-08
ABHD16B	6.061e-04	3.115e-07	4.275e-04	9.582e-09	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD17A	0.000e+00	1.543e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD17B	9.914e-04	1.083e-07	2.733e-04	6.828e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
ABHD17C	6.760e-04	1.031e-07	1.187e-04	4.094e-09	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABHD2	2.236e-03	1.471e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.324e-04	5.474e-08
ABHD3	1.258e-03	9.828e-08	0.000e+00	0.000e+00	0.000e+00	8.575e-09	0.000e+00	0.000e+00
ABHD4	0.000e+00	1.886e-07	1.509e-04	1.145e-08	1.509e-04	1.145e-08	0.000e+00	0.000e+00
ABHD5	8.319e-05	1.255e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	2.100e-04	2.978e-08
ABHD6	1.529e-05	9.375e-08	8.151e-06	8.267e-09	0.000e+00	8.575e-09	1.382e-04	3.853e-08
ABHD8	2.274e-05	2.221e-07	1.579e-04	1.976e-08	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABI1	9.200e-04	1.711e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	2.770e-08
ABI2	3.373e-03	1.556e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.539e-08
ABI3	3.121e-03	2.080e-07	4.899e-05	1.530e-08	0.000e+00	8.575e-09	7.691e-04	4.467e-08
ABI3BP	2.241e-03	6.271e-07	4.150e-04	3.578e-08	5.534e-04	4.770e-08	0.000e+00	1.108e-07
ABL1	1.423e-03	4.436e-07	8.486e-04	2.798e-08	0.000e+00	0.000e+00	3.860e-04	1.191e-07
ABL2	3.476e-04	5.099e-07	1.133e-04	3.002e-08	2.833e-05	7.505e-09	2.967e-04	1.023e-07
ABLIM1	0.000e+00	2.401e-07	1.953e-04	2.692e-08	1.953e-04	2.692e-08	0.000e+00	2.770e-08
ABLIM2	1.270e-03	3.637e-07	7.133e-05	1.446e-08	1.070e-04	2.168e-08	1.869e-05	1.362e-07
ABLIM3	0.000e+00	4.373e-07	2.025e-04	5.238e-08	1.157e-04	2.993e-08	0.000e+00	5.539e-08
ABR	0.000e+00	2.058e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	6.462e-04	1.704e-07
ABRA	1.830e-03	2.825e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	2.818e-04	4.872e-08
ABRACL	0.000e+00	2.572e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
ABT1	1.489e-03	1.324e-07	2.438e-04	7.942e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
ABTB1	0.000e+00	2.658e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	2.545e-04	1.628e-07
ABTB2	0.000e+00	3.001e-07	0.000e+00	8.575e-09	0.000e+00	8.575e-09	5.541e-05	1.317e-07
AC000003.2	1.352e-04	7.207e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
CLDN34	0.000e+00	7.717e-08	3.153e-04	5.244e-09	1.576e-04	2.622e-09	0.000e+00	2.770e-08
AC002451.1	9.425e-04	6.731e-08	3.593e-04	3.583e-09	0.000e+00	0.000e+00	9.555e-05	1.604e-08
AC002472.1	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.630e-04	7.815e-09
LRRC74B	1.230e-03	1.594e-07	4.034e-05	7.051e-09	8.068e-05	1.410e-08	2.842e-04	4.842e-08
AC002553.1	3.218e-04	4.997e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AC003002.4	0.000e+00	6.860e-08	6.027e-05	6.299e-09	0.000e+00	0.000e+00	0.000e+00	0.000e+00
