gene	missenseVusDriversPerSample	missensePassengersPerMutation
AC093677.1	0.0	1.2371435883654117E-7
AC096644.1	4.562131030933642E-4	2.9596248227207068E-8
AC102948.2	0.0023188883856394738	3.4989356779561027E-8
AC105020.1	0.0	4.948574353461647E-8
AC109583.1	1.1848694142184265E-4	7.205767801304577E-9
AC110771.1	1.4655951850628076E-4	1.1732481229388017E-7
AC112693.2	0.0028247136610693234	9.953697375442811E-8
AC112721.1	5.340006352203618E-4	2.620494985211798E-8
AC115618.1	0.0	4.948574353461647E-8
AC117395.1	5.986577754601252E-4	7.28718399196386E-8
AC119673.1	4.2154200969863633E-4	3.110780180754355E-8
AC129492.6	3.188491094021638E-4	4.795633390939409E-8
AC132186.1	1.0330399581326468E-4	1.068391848400778E-7
AC132216.1	0.0	3.7114307650962355E-8
AC135178.1	4.14534471551603E-4	4.378474491171998E-8
AC135983.2	0.001811002639456844	5.713162121016472E-8
AC136297.1	0.0	1.2371435883654117E-8
AC136604.1	0.0	1.2371435883654117E-7
AC139426.2	0.0	1.2371435883654117E-8
AC140481.2	7.788594904955322E-4	5.264416066795838E-8
AC142381.1	0.001833774604586954	3.139596144416737E-8
ACAA1	0.0	1.2371435883654117E-7
ACAA2	7.68295225077896E-4	1.0259047384870204E-7
ACACA	0.0	9.031148195067506E-7
ACACB	0.0	1.0268291783432917E-6
ACAD10	0.0	3.587716406259694E-7
ACAD11	0.0	2.1031441002212E-7
ACAD9	0.002139793246467097	2.531117668481414E-7
ACADM	7.531398027491558E-4	1.527369474220776E-7
ACADVL	0.0	1.360857947201953E-7
ACAN	5.920181821437613E-4	1.5948479195608915E-6
ACAP1	0.0	1.9794297413846588E-7
ACAP2	0.0	2.3505728178942825E-7
ACAP3	0.0013806887790099517	2.3672065527597547E-7
ACBD3	0.0	1.7320010237115765E-7
ACBD4	0.0	1.1134292295288707E-7
ACCSL	3.9797016471583205E-4	3.414213592115739E-7
ACD	0.0	1.6082866648750354E-7
ACE	0.0055178256818639825	4.769829657713091E-7
ACE2	9.431675218267181E-4	1.815666279958177E-7
ACER1	0.0	1.360857947201953E-7
ACHE	0.0010454702749085397	3.503066433735083E-7
ACIN1	7.833256989447223E-4	5.34935447108441E-7
ACKR2	0.0	2.1031441002212E-7
ACKR3	1.4413551499679615E-4	2.4114485026611506E-7
ACOT1	0.0	3.7114307650962355E-8
ACOT11	0.0	2.2268584590577413E-7
ACOT12	0.0	2.598001535567365E-7
ACOT2	0.0	3.7114307650962355E-8
ACOT4	0.0	1.2371435883654117E-8
ACOT6	0.0	9.897148706923294E-8
ACOT9	0.0	6.185717941827058E-8
ACOX2	0.0	1.8557153825481176E-7
ACOX3	2.0664463098483764E-4	3.621340029200972E-7
ACP2	0.0	1.4845723060384942E-7
ACP5	0.0022486411000921954	5.0423359360175846E-8
ACPL2	0.0012368527067250633	1.4401998082774923E-7
ACPT	0.0	2.598001535567365E-7
ACR	0.0	1.7320010237115765E-7
ACRBP	0.0	2.3505728178942825E-7
ACRC	0.0015511349618558472	2.2928972326001035E-7
ACRV1	0.0	4.948574353461647E-8
ACSBG1	0.0	3.0928589709135296E-7
ACSBG2	0.0	2.598001535567365E-7
ACSF2	0.0	2.8454302532404473E-7
ACSL1	9.083018753326125E-4	2.6968671468154385E-7
ACSL5	0.0011210500763246065	2.604115441163002E-7
ACSL6	0.003605060680336208	3.624306927418332E-7
ACSM2B	0.0	6.928004094846306E-7
ACSM5	0.0	3.587716406259694E-7
ACSS3	0.002452100284783741	5.735249044788705E-7
ACTB	0.002154966769780427	2.0296450412722574E-7
ACTBL2	0.0	2.1031441002212E-7
ACTC1	0.004554515578313087	3.086659285871072E-7
ACTL7A	0.0	1.8557153825481176E-7
ACTL7B	0.0	2.2268584590577413E-7
ACTN1	0.0	3.7114307650962353E-7
ACTN4	0.001955609724808541	3.477416559864024E-7
ACTR10	0.0	1.1134292295288707E-7
ACTR1A	7.387703943198983E-4	9.150623024170877E-8
ACTR5	0.0	2.2268584590577413E-7
ACTR8	0.0027733279507250984	1.2652010525524558E-7
ACTRT1	0.0011891833338151072	2.3269827080649505E-7
ACVR1	0.0	1.4845723060384942E-7
ACVR1B	0.003186873102322355	2.074622891406718E-7
ACVR1C	0.002119644191756695	2.663616398621496E-7
ACVR2A	0.0	2.598001535567365E-7
ACY1	0.0	1.2371435883654117E-7
ACYP2	3.322716560204517E-5	3.566570490404576E-8
ADAD1	0.0	4.948574353461647E-7
ADAD2	0.0016330401295841254	2.2571890857244805E-7
ADAM10	0.0	1.9794297413846588E-7
ADAM12	0.004233817930291965	5.205903388618078E-7
ADAM15	5.242447675034023E-5	4.059718373903391E-7
ADAM18	0.003224851213141057	7.006639950661095E-7
ADAM19	5.863542365275708E-4	6.053799795660603E-7
ADAM2	0.0011316489038336556	6.929497235966397E-7
ADAM20	0.0	3.2165733297500707E-7
ADAM21	0.0	3.9588594827693176E-7
ADAM23	0.0033289795669403546	5.971528303983672E-7
ADAM28	0.0	4.701145635788565E-7
ADAM29	0.002302491074394519	8.027332541615094E-7
ADAM32	0.0	5.072288712298188E-7
ADAM33	0.0	4.2062882004424E-7
