gene	missenseDriverLikelihood	missenseExpDriversPerSample	missenseExpPassengersPerLoad	nonsenseDriverLikelihood	nonsenseExpDriversPerSample	nonsenseExpPassengersPerLoad	spliceDriverLikelihood	spliceExpDriversPerSample	spliceExpPassengersPerLoad	indelDriverLikelihood	indelExpDriversPerSample	indelExpPassengersPerLoad
LCLAT1	0.12533270677315558	6.046129441383783E-4	1.6535345342752804E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	1.1120426939879246E-8	0.37103171807805513	3.1586128099720924E-4	1.4198772566451346E-7
LCMT1	0.0	0.0	6.672256163927548E-8	0.46056860401245203	2.613896731058184E-4	1.1997414856313197E-8	0.46056860401245203	2.613896731058184E-4	1.1997414856313197E-8	0.0	0.0	0.0
LCMT2	0.31424433174310784	0.0024076608845243794	2.0589918680138864E-7	0.033685659818855206	9.558927303874916E-6	1.0745828020942041E-8	0.0	0.0	0.0	0.0	0.0	2.2574703644934226E-7
LCN1	0.36970205018985247	8.392782070144211E-4	5.6073458409755374E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCN10	0.0	0.0	5.5602134699396236E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCN12	0.0	0.0	5.5602134699396236E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCN15	0.0	0.0	7.784298857915473E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCN2	0.0	0.0	3.336128081963774E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCN6	0.0	0.0	4.4481707759516984E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCN8	0.5827377829644594	0.0019843511338176827	5.568160799178919E-8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCN9	0.3930869112871762	0.0011154566154573673	6.749132661887408E-8	0.0	0.0	0.0	0.1420913118211289	4.0321030596234085E-5	9.540310887980782E-9	0.42931514731834053	1.2182609174754272E-4	4.2943471413138034E-8
LCNL1	0.05869234926462841	9.993022008733554E-5	6.280645774771243E-8	0.5696275731108216	1.6164233062168604E-4	4.785925130159631E-9	0.0	0.0	0.0	0.0	0.0	0.0
LCOR	0.0	0.0	1.5568597715830946E-7	0.0	0.0	1.1120426939879246E-8	0.0	0.0	0.0	0.36262942567630324	5.145139410844257E-4	2.39807530455983E-7
