Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10,Sig11,Sig12,Sig13,Sig14,Sig15,Sig16,Sig17,Sig18,Sig19,Sig20,Sig21,Sig22,Sig23,Sig24,Sig25,Sig26,Sig27,Sig28,Sig29,Sig30
5e-04,0,0.0042,0.0063,0.0026,0,6e-04,7e-04,0,0,8e-04,0,3e-04,0,4e-04,0.0028,0,0.0054,2e-04,0,0,4e-04,0,8e-04,8e-04,2e-04,4e-04,0,0.0015,0.0032
0.0014,3e-04,0.024,0.0094,0.0094,2e-04,3e-04,0.0078,0.0039,0,2e-04,0.0019,0.0064,0,0.0017,0.008,0.001,0.0055,8e-04,1e-04,3e-04,0.0018,2e-04,0.0104,2e-04,0.0023,3e-04,3e-04,1e-04,0
6e-04,0,0.0119,0.007,0.0056,0,0,0.0037,0.0011,0,0,0.0012,0.0013,2e-04,0.0022,0.0031,0.0013,9e-04,0.002,0.0013,4e-04,0,0,0.0049,0.0042,0.0013,0.0014,1e-04,3e-04,0.0074
0.0024,0,0.0098,0.0091,0.0054,0.003,4e-04,0.003,0.0029,2e-04,2e-04,0.0011,8e-04,1e-04,5e-04,0.0032,3e-04,6e-04,0,0.0018,0.0042,0,1e-04,0.0094,0.0024,0.0018,0.0013,1e-04,9e-04,0.0066
0,0,0.0017,0.0062,0.0011,0,0,3e-04,0,0,0,0,1e-04,0,6e-04,0,0,5e-04,0,0,0,2e-04,0,0.0056,4e-04,2e-04,0,0,0,0.0016
9e-04,3e-04,0.0179,0.006,0.006,0.0017,0,0.0058,0.0044,4e-04,0,9e-04,0.0027,3e-04,0.0018,0.0029,0.0018,0.0014,0,0.0012,4e-04,5e-04,0,0.0031,0.002,0.0012,0.0046,2e-04,0.0048,0
0.0019,0.0372,0.016,0.0032,0.0027,0,2e-04,0.0041,0.0033,0,1e-04,0.0024,0.2802,0,9e-04,0.005,4e-04,0.0018,5e-04,0,2e-04,2e-04,2e-04,0.0102,0.0098,0.0042,0.0029,5e-04,8e-04,0
0.0021,0,0.0201,0.0105,0.0079,2e-04,0.001,0.0038,0.0025,0,0.0011,0.0027,0.0639,0,0.0026,0.0064,7e-04,0.0079,0.0011,2e-04,3e-04,6e-04,2e-04,0.0076,0.0033,0.0028,0.0031,7e-04,4e-04,0
3e-04,0.0016,0.0025,0.0031,0.0013,0,3e-04,0,0,0,3e-04,0,0.0095,0,0,0,0,0.0015,0,0,0,4e-04,0,0.0016,0.0021,0,0,0,1e-04,0.002
0.0032,0.0669,0.0327,0.005,0.0066,1e-04,7e-04,0.0062,0.0049,1e-04,8e-04,0.0015,0.3302,1e-04,0.0015,0.0169,0.0029,0.0036,0.0105,7e-04,3e-04,3e-04,4e-04,0.0061,0.0164,0.008,0.0021,0.0012,0.0014,0
0.0295,0.0074,0.0179,0.012,0.0218,0.0312,0,0.0181,0.0093,0,0.0225,0.0121,0.0015,0.0293,0.0117,0.0135,0.0094,0.0038,0.0221,0.0329,0.0051,0.0031,0.0198,0.0063,0.021,0.0059,0.0137,0.0054,0.0052,0.0651
0.0143,0.0027,0.0089,0.0075,0.0128,0.0163,0.0197,0.0057,0.0056,0.0032,0.1099,0.0054,0,0.0321,0.0169,0.0076,0.0042,0.0025,0.0203,0.0222,0.0062,0.0015,0.0819,0.0038,0.0131,0.0106,0.0054,0.0018,0.009,0.0544
0.1716,0.0033,0.0036,0.0028,0.0168,0.0908,1e-04,0.0193,0.0125,0.0126,0.0072,0.0019,3e-04,0.0496,0.0309,0.0035,0.0092,0.0085,0.0368,0.0346,0.0256,0.0036,0.0092,0.0031,0.0197,0.0199,0.0067,0.0054,0.0316,0.0205
0.0126,0.0033,0.0148,0.0059,0.0165,0.0149,0.0043,0.0208,0.0076,0.0047,0.0639,0.0067,0,0.0277,0.0066,0.0101,0.0057,0.0056,0.0266,0.0188,0.003,0,0.0332,0.0034,0.0057,0.0113,0.0045,0.0016,0.0048,0.0219
0.0209,0.015,0.0144,0.021,0.0228,0.0085,0.0754,0.0049,0.0098,0.0012,0.031,0.0187,0.0036,0.006,0.0051,0.021,0.0213,0.0098,0.0438,0.0111,0.0034,0.0077,0.0606,0.006,0.0143,0.0066,0.0174,0.0044,0.0091,0.0694
0.0185,0.0035,0.0085,0.0144,0.0175,0.0099,0.1007,0.004,0.0069,0.0024,0.1518,0.0094,0.001,0.0167,0.0088,0.0098,0.0038,0.0057,0.0753,0.0182,0.0091,0.0071,0.1864,0,0.0059,0.0065,0.0071,0.0026,0.0071,0.0638
0.0956,0.005,0.0035,0.0076,0.0129,0.0901,0.0208,0.0083,0.0076,0.0109,0.0135,0.0046,1e-04,0.0293,0.0155,0.0016,0.0132,0.0162,0.0238,0.0444,0.0318,0.0055,0.0151,0.0029,0.0116,0.0119,0.0075,0.0023,0.0199,0.0173
0.0171,0.009,0.0161,0.0201,0.0204,0.0087,0.0788,0.0188,0.0097,0.0043,0.0816,0.0205,6e-04,0.0186,0.0096,0.0211,0.0096,0.0052,0.1159,0.0138,0.004,0.0042,0.156,0.004,0.0136,0.0062,0.0071,0.0024,0.0016,0.0342
0.0249,0.0064,0.0161,0.0087,0.02,0.0653,0,0.0023,0.0062,0,0.0261,0.0124,0.0029,0.0557,0.0476,0.0125,0.0021,0.0027,0.0374,0.0568,0.0163,0.0019,0.0533,0.0237,0.01,0.0096,0.0142,0.0034,0.0116,0.0486
0.0272,0.002,0.0082,0.008,0.018,0.0773,0.021,0.0016,0.0069,0.0134,0.0975,0.0092,0.0025,0.0618,0.1345,0.0092,3e-04,0.0042,0.0614,0.0544,0.0392,0.0032,0.1629,0.0159,0.007,0.0195,0.0201,0.0017,0.0038,0.0495
0.1036,3e-04,0.0012,0.0023,0.0132,0.1339,2e-04,0.0116,0.0088,0.027,0.009,0.0023,0.0032,0.0978,0.1829,9e-04,0.0075,0.0119,0.0278,0.0046,0.0019,0.0033,0.013,0.0126,0.0105,0.0225,0.0094,0.0022,0.0197,0.0157
0.0177,0.0033,0.0106,0.0082,0.0195,0.0524,0.0161,0.0063,0.0101,0.0152,0.0522,0.0115,0.0017,0.0555,0.08,0.0116,9e-04,0.0019,0.0917,0.0496,0.0166,0.0011,0.1076,0.0181,0.0098,0.0173,0.0076,0.001,0.0058,0.0189
0.0145,0.4199,0.0089,0.0035,0.011,0.0074,0.1202,0.0072,0.005,0.0037,0.0302,0.0138,0.1138,0.0092,0.0112,0.0172,0.0161,0.0149,0.0218,0.0107,0.0064,0.002,0.0146,0.0266,0.0111,0.0113,0.0188,0.0076,0.0121,0.085
0.0177,0.082,0.0135,0.007,0.0206,0.0067,0.2887,0.0041,0.0084,0.0211,0.1589,0.0095,0.015,0.0283,0.0156,0.0131,0.0168,0.01,0.033,0.0082,0.0086,0.002,0.0435,0.0121,0.0064,0.0108,0.008,0.0051,0,0.0903
0.076,0.0477,0.0017,0.0011,0.0075,0.0391,0.0992,0.0055,0.0047,0.2141,0.008,0.001,0.0061,0.0094,0.0104,0.0036,0.0163,0.0115,0.009,0.0232,0.0126,0.0015,0.0028,0.0054,0.0141,0.0104,0.0046,0.0019,0.0158,0.0151
0.0138,0.2287,0.0103,0.0077,0.0118,0.0047,0.0844,0.0122,0.0096,0.0392,0.0954,0.009,0.0281,0.0229,0.0076,0.0193,0.0198,0.0054,0.0267,0.0095,0.0064,0.0012,0.0243,0.0055,0.0124,0.0072,0.0119,0.0062,0.0135,0.0455
0.004,0,0.0084,0.0048,0.0089,6e-04,0.001,0.0134,0.0121,0,2e-04,0.0058,0.0012,0,0.0021,0.0081,6e-04,0.003,0.0011,6e-04,0.0083,0.0496,0,0.0012,0.0204,0.0045,0.1431,0.001,0,0.0076
0.0024,1e-04,0.0074,0.0039,0.0074,0.0033,8e-04,0.0124,0.0042,2e-04,1e-04,0.0065,0.0011,8e-04,0.009,0.0073,0.0019,8e-04,0.0053,0.002,0.0292,0.0117,0,0,0.0089,0.0128,0.0015,0.0034,0.003,0.0037
0.0028,5e-04,0.0074,0.01,0.0115,0,9e-04,0.014,0.0068,0,7e-04,0.0046,1e-04,0,9e-04,0.008,0.0011,0.0045,0.0045,2e-04,0.0027,0.0679,2e-04,0.0063,0.0062,0.0012,0.0012,0.0018,0.0039,0.0066
0.0084,1e-04,0.0088,0.003,0.0112,0.0053,0.0035,0.0241,0.0185,0.0012,3e-04,0.006,0.001,9e-04,0.0079,0.0084,0.002,0.0027,0.0033,0.0074,0.0043,0.0146,0,0,0.0149,0.004,0.0025,0.0057,0.0051,0.0093
0.0012,2e-04,0.0076,0.0075,0.005,1e-04,0,0.012,0.0055,0,4e-04,0.0017,3e-04,0,0.0016,0.0054,0,4e-04,0.0043,0,0,0.0869,6e-04,0.0028,0.0263,0.0036,0.3306,0.0026,0.0018,0.0053
0.0019,5e-04,0.0127,0.0111,0.0062,0.0026,0.0014,0.0179,0.0049,1e-04,0.0011,0.0086,2e-04,0.0034,0.0043,0.0128,0.0102,0.0025,0.0053,0.0044,0.0037,0.0537,0,0.0027,0.0158,0.0039,0.0028,0.0196,4e-04,0.0068
