Chr37	Start37	End37	Orient37	Chr38 	Start38	End38	Orient38
2	91710144	91710320	+	2	91531281	91531457	+
2	91710320	91710603	+	2	91531459	91531742	+
2	91710603	91714440	+	2	91531748	91535585	+
2	91714440	91714649	+	2	91535586	91535795	+
2	91714653	91715106	+	2	91535795	91536248	+
2	91715106	91715287	+	2	91536253	91536434	+
2	91715288	91715290	+	2	91536434	91536436	+
2	91715290	91717474	+	2	91536437	91538621	+
2	91717475	91717527	+	2	91538621	91538673	+
2	91717527	91717596	+	2	91538674	91538743	+
2	91723279	91725086	+	2	91544300	91546107	+
2	91725086	91725199	+	2	91546183	91546296	+
2	91725233	91727210	+	2	91546296	91548273	+
2	91727212	91727852	+	2	91548273	91548913	+
2	91727852	91727908	+	2	91548918	91548974	+
2	91727908	91728548	+	2	91548975	91549615	+
2	91728548	91729156	+	2	91549618	91550226	+
2	91729160	91730936	+	2	91550226	91552002	+
2	91736243	91738079	+	2	91556981	91558817	+
2	91738084	91738195	+	2	91558817	91558928	+
2	91738198	91738234	+	2	91558928	91558964	+
2	91738239	91738595	+	2	91558964	91559320	+
2	91738598	91738785	+	2	91559320	91559507	+
2	91738790	91739209	+	2	91559507	91559926	+
2	91739209	91739388	+	2	91559931	91560110	+
2	91739391	91739762	+	2	91560110	91560481	+
2	91739767	91740185	+	2	91560481	91560899	+
2	91740190	91740265	+	2	91560899	91560974	+
2	91740270	91740280	+	2	91560974	91560984	+
2	91740280	91740324	+	2	91560986	91561030	+
2	91740326	91740810	+	2	91561030	91561514	+
2	91740818	91741771	+	2	91561514	91562467	+
2	91741771	91742066	+	2	91562468	91562763	+
2	91742111	91742177	+	2	91562763	91562829	+
2	91742177	91746023	+	2	91562830	91566676	+
2	91746023	91746062	+	2	91566677	91566716	+
2	91759763	91760088	+	2	91571703	91572028	+
2	91760088	91762561	+	2	91572029	91574502	+
2	91762561	91763897	+	2	91574503	91575839	+
2	91763898	91764922	+	2	91575839	91576863	+
2	91764934	91765186	+	2	91576863	91577115	+
2	91765186	91765437	+	2	91577116	91577367	+
2	91765437	91766730	+	2	91577378	91578671	+
2	91766730	91770633	+	2	91578673	91582576	+
2	91770635	91772019	+	2	91582576	91583960	+
2	91772020	91773046	+	2	91583960	91584986	+
2	91773046	91773060	+	2	91584996	91585010	+
2	91773060	91773913	+	2	91585014	91585867	+
2	91773917	91773922	+	2	91585867	91585872	+
2	91773926	91774945	+	2	91585872	91586891	+
2	91774945	91774997	+	2	91586899	91586951	+
2	91774997	91777660	+	2	91586955	91589618	+
2	91777661	91777844	+	2	91589618	91589801	+
2	91777853	91778108	+	2	91589801	91590056	+
2	91778108	91778439	+	2	91590058	91590389	+
2	91778439	91778773	+	2	91590390	91590724	+
2	91778773	91778819	+	2	91590735	91590781	+
2	91778819	91781093	+	2	91590791	91593065	+
2	91781093	91784107	+	2	91593069	91596083	+
2	91784109	91784223	+	2	91596083	91596197	+
2	91784223	91785553	+	2	91596201	91597531	+
2	91785558	91787817	+	2	91597531	91599790	+
2	91787818	91788230	+	2	91599790	91600202	+
2	91788230	92326171	+	2	91600204	92138145	+
2	95326171	95352679	+	2	94660446	94686954	+
2	95352680	95361268	+	2	94686954	94695542	+
2	95361269	95363895	+	2	94695542	94698168	+
2	95363895	95364689	+	2	94698170	94698964	+
2	95364689	95367741	+	2	94698968	94702020	+
2	95367741	95372718	+	2	94702021	94706998	+
2	95372719	95384384	+	2	94706998	94718663	+
2	95384416	95388853	+	2	94718663	94723100	+
2	95388853	95847046	+	2	94723108	95181301	+
2	95847049	96780997	+	2	95181301	96115249	+
2	96780997	96823988	+	2	96115258	96158249	+
2	96823988	97075783	+	2	96158250	96410045	+
2	97075783	97951534	+	2	96410046	97285797	+
2	97951534	97984632	+	2	97389066	97422164	-
2	97984633	97986959	+	2	97319439	97321765	+
2	97986959	97996959	+	2	97376739	97386739	-
2	97996959	98007766	+	2	97331766	97342573	+
2	98007766	98031124	+	2	97342574	97365932	-
2	98031125	98041932	+	2	97365932	97376739	+
2	98041932	98051932	+	2	97321766	97331766	-
2	98051933	98054259	+	2	97386739	97389065	+
2	98054259	98080207	+	2	97293491	97319439	-
2	98080207	98080220	+	2	97293326	97293339	-
2	98080227	98080234	+	2	97293319	97293326	-
2	98080234	98080261	+	2	97293290	97293317	-
2	98080264	98080267	+	2	97293287	97293290	-
2	98080267	98083837	+	2	97289716	97293286	-
2	98083838	98085620	+	2	97287934	97289716	-
2	98087757	98090955	+	2	97422164	97425362	+
2	98090955	98094086	+	2	97425376	97428507	+
2	98094086	98094600	+	2	97428508	97429022	+
2	98094602	98104195	+	2	97429022	97438615	+
2	98104195	98104985	+	2	97438661	97439451	+
2	98104986	98105153	+	2	97439451	97439618	+
2	98107120	98108907	+	2	97490655	97492442	+
2	98108907	98117314	+	2	97492443	97500850	+
2	98117314	100021678	+	2	97500851	99405215	+
2	100021678	102662385	+	2	99405216	102045923	+
2	102662385	102679833	+	2	102045924	102063372	+
2	102679833	103089289	+	2	102063373	102472829	+
2	103089289	103512153	+	2	102472830	102895694	+
2	103512153	105768941	+	2	102895695	105152483	+
2	105768941	106436528	+	2	105152484	105820071	+
2	106436528	110109337	+	2	105820072	109492881	+
2	110251337	115920427	+	2	109493760	115162850	+
2	115920427	121564733	+	2	115162851	120807157	+
2	121564733	121639446	+	2	120807158	120881871	+
2	121639447	124524425	+	2	120881871	123766849	+
2	124524426	127398545	+	2	123766849	126640968	+
2	127398545	128299552	+	2	126640969	127541976	+
2	128299552	128408121	+	2	127541977	127650546	+
2	128408121	129767262	+	2	127650547	129009688	+
2	129767262	133885550	+	2	129009689	133127977	+
2	133885550	134158802	+	2	133127978	133401230	+
2	134158802	135328366	+	2	133401231	134570795	+
2	135328366	140274640	+	2	134570796	139517070	+
2	140274640	144625159	+	2	139517071	143867590	+
2	144625159	144672774	+	2	143867591	143915206	+
2	144672774	145955649	+	2	143915207	145198082	+
2	145955650	148447718	+	2	145198082	147690150	+
2	148447719	149690582	+	2	147690150	148933013	+
2	149790582	154335734	+	2	148934068	153479220	+
2	154335734	155166416	+	2	153479221	154309903	+
2	155166416	159984745	+	2	154309904	159128233	+
2	159984745	162365239	+	2	159128234	161508728	+
2	162365239	172792025	+	2	161508729	171935515	+
2	172792027	172794536	+	2	171935515	171938024	+
2	172794544	172799592	+	2	171938024	171943072	+
2	172799592	172799929	+	2	171943073	171943410	+
2	172799931	172800247	+	2	171943410	171943726	+
2	172800247	172802017	+	2	171943728	171945498	+
2	172802018	172806193	+	2	171945498	171949673	+
2	172806193	172808191	+	2	171949674	171951672	+
2	172808191	172810144	+	2	171951673	171953626	+
2	172810147	172812699	+	2	171953626	171956178	+
2	172812700	172813037	+	2	171956178	171956515	+
2	172813041	172818102	+	2	171956515	171961576	+
2	172818102	172821358	+	2	171961580	171964836	+
2	172821358	172827017	+	2	171964837	171970496	+
2	172827017	172829909	+	2	171970508	171973400	+
2	172829911	172831613	+	2	171973400	171975102	+
2	172831614	172832581	+	2	171975102	171976069	+
2	172841008	172842479	+	2	171976069	171977540	+
2	172842479	172843489	+	2	171977570	171978580	+
2	172843493	172845800	+	2	171978580	171980887	+
2	172845801	172852490	+	2	171980887	171987576	+
2	172852491	172852658	+	2	171987576	171987743	+
2	172852658	172855212	+	2	171987744	171990298	+
2	172855212	172857046	+	2	171990302	171992136	+
2	172857047	172861171	+	2	171992136	171996260	+
2	172861171	172866969	+	2	171996264	172002062	+
2	172866970	172871107	+	2	172002062	172006199	+
2	172871107	172872029	+	2	172006201	172007123	+
2	172872029	172873616	+	2	172007124	172008711	+
2	172873617	172875367	+	2	172008711	172010461	+
2	172875368	172878743	+	2	172010461	172013836	+
2	172878743	172881210	+	2	172013838	172016305	+
2	172881214	172882179	+	2	172016305	172017270	+
2	172882179	172883051	+	2	172017274	172018146	+
2	172883051	172888776	+	2	172018147	172023872	+
2	172888777	172889694	+	2	172023872	172024789	+
2	172889698	172893498	+	2	172024789	172028589	+
2	172893498	172901235	+	2	172028595	172036332	+
2	172901236	172902180	+	2	172036332	172037276	+
2	172902181	172902222	+	2	172037276	172037317	+
2	172902224	172902376	+	2	172037317	172037469	+
2	172902379	172904585	+	2	172037469	172039675	+
2	172904585	172905673	+	2	172039676	172040764	+
2	172905675	172906317	+	2	172040764	172041406	+
2	172906318	172906384	+	2	172041406	172041472	+
2	172906384	172906678	+	2	172041473	172041767	+
2	172906686	172907146	+	2	172041767	172042227	+
2	172907146	172907193	+	2	172042229	172042276	+
2	172907193	172907289	+	2	172042284	172042380	+
2	172907289	172907403	+	2	172042418	172042532	+
2	172907403	172907411	+	2	172042552	172042560	+
2	172907411	172907427	+	2	172042570	172042586	+
2	172907427	172907451	+	2	172042590	172042614	+
2	172907451	172907491	+	2	172042672	172042712	+
2	172907491	172907543	+	2	172042744	172042796	+
2	172907543	172907597	+	2	172042800	172042854	+
2	172907597	172907849	+	2	172042856	172043108	+
2	172907849	172909154	+	2	172043117	172044422	+
2	172909154	178665214	+	2	172044426	177800486	+
2	178665214	183700047	+	2	177800487	182835320	+
2	183700048	184591970	+	2	182835320	183727242	+
2	184591970	189665296	+	2	183727243	188800569	+
2	189665296	194109808	+	2	188800570	193245082	+
2	194109808	194449373	+	2	193245083	193584648	+
2	194449373	199861300	+	2	193584649	198996576	+
2	199861300	205953218	+	2	198996577	205088495	+
2	205953219	209224875	+	2	205088495	208360151	+
2	209224876	209484986	+	2	208360151	208620261	+
2	209484986	212013167	+	2	208620262	211148443	+
2	212013168	213189005	+	2	211148443	212324280	+
2	213189005	215923334	+	2	212324281	215058610	+
2	215923334	219729990	+	2	215058611	218865267	+
2	219729990	220664192	+	2	218865268	219799470	+
2	220664192	221499705	+	2	219799471	220634984	+
2	221499705	222781061	+	2	220634985	221916341	+
2	222781061	223685703	+	2	221916342	222820984	+
2	223685703	224478401	+	2	222820985	223613683	+
2	224478401	226190217	+	2	223613684	225325500	+
2	226190217	231069738	+	2	225325501	230205022	+
2	231069738	231918497	+	2	230205023	231053782	+
2	231918497	232065857	+	2	231053783	231201143	+
2	232065857	232184025	+	2	231201144	231319312	+
2	232184025	232225535	+	2	231319313	231360823	+
2	232225535	232539890	+	2	231360824	231675179	+
2	232539890	234003741	+	2	231675180	233139031	+
2	234053741	234807087	+	2	233145095	233898441	+
2	234807087	234844338	+	2	233898442	233935693	+
2	234844338	237073599	+	2	233935694	236164955	+
2	237073599	238781136	+	2	236164956	237872493	+
2	238781136	238931162	+	2	237872494	238022520	+
2	238931162	239801978	+	2	238022521	238893337	+
2	239831978	240205681	+	2	238910282	239283985	+
2	240205681	240319336	+	2	239283986	239397641	+
2	240319336	240784132	+	2	239397642	239862438	+
2	240809132	242004220	+	2	239869715	241064803	+
2	242004220	242006644	+	2	241064804	241067228	+
2	242006644	242744527	+	2	241067229	241805112	+
2	242744669	242744776	+	2	241805112	241805219	+
2	242744935	242744940	+	2	241805219	241805224	+
2	242745012	242745018	+	2	241805257	241805263	+
2	242745358	242745394	+	2	241805525	241805561	+
2	242745485	242745747	+	2	241805263	241805525	+
2	242745786	242745899	+	2	241805561	241805674	+
2	242745983	242746014	+	2	241805756	241805787	+
2	242746019	242746195	+	2	241805789	241805965	+
2	242746206	242746211	+	2	241805965	241805970	+
2	242746211	242746223	+	2	241805971	241805983	+
2	242746223	242746241	+	2	241805984	241806002	+
2	242746252	242746288	+	2	241806009	241806045	+
2	242746331	242746337	+	2	241806089	241806095	+
2	242746375	242746408	+	2	241805224	241805257	+
2	242746834	242746916	+	2	241805674	241805756	+
2	242746946	242746948	+	2	241805787	241805789	+
2	242747134	242747141	+	2	241806002	241806009	+
2	242747181	242747225	+	2	241806045	241806089	+
2	242747230	242747261	+	2	241806095	241806126	+
2	242747264	242747299	+	2	241806126	241806161	+
2	242747302	242747337	+	2	241806161	241806196	+
2	242747341	242747371	+	2	241806196	241806226	+
2	242747375	242747473	+	2	241806226	241806324	+
2	242747473	242747499	+	2	241806325	241806351	+
2	242747499	242747686	+	2	241806352	241806539	+
2	242747690	242747729	+	2	241806539	241806578	+
2	242747733	242747774	+	2	241806578	241806619	+
2	242747774	242747806	+	2	241806620	241806652	+
2	242747809	242747848	+	2	241806652	241806691	+
2	242747852	242747926	+	2	241806691	241806765	+
2	242747929	242748162	+	2	241806765	241806998	+
2	242748162	242748359	+	2	241807030	241807227	+
2	242748359	242748434	+	2	241807228	241807303	+
2	242748434	242748500	+	2	241807304	241807370	+
2	242748500	242748591	+	2	241807409	241807500	+
2	242748592	242748667	+	2	241807500	241807575	+
2	242748671	242748701	+	2	241807575	241807605	+
2	242748701	242748749	+	2	241807609	241807657	+
2	242748749	242748866	+	2	241807661	241807778	+
2	242748870	242748950	+	2	241807778	241807858	+
2	242748950	242748977	+	2	241807859	241807886	+
2	242748977	242749025	+	2	241807890	241807938	+
2	242749025	242749173	+	2	241807942	241808090	+
2	242749185	242753643	+	2	241808090	241812548	+
2	242753686	242755094	+	2	241812548	241813956	+
2	242755153	242756639	+	2	241813956	241815442	+
2	242756768	242759466	+	2	241815442	241818140	+
2	242759468	242760906	+	2	241818140	241819578	+
2	242760911	242761499	+	2	241819581	241820169	+
2	242761761	242761764	+	2	241819578	241819581	+
2	242762354	242765490	+	2	241820169	241823305	+
2	242765490	242765508	+	2	241823307	241823325	+
2	242765512	242765556	+	2	241823325	241823369	+
2	242765556	242765577	+	2	241823381	241823402	+
2	242765582	242765599	+	2	241823402	241823419	+
2	242765599	242765613	+	2	241823431	241823445	+
2	242765613	242765645	+	2	241823447	241823479	+
2	242765645	242765649	+	2	241823483	241823487	+
2	242765649	242765721	+	2	241823491	241823563	+
2	242765721	242765766	+	2	241823565	241823610	+
2	242765769	242765965	+	2	241823610	241823806	+
2	242765985	242767039	+	2	241823806	241824860	+
2	242767039	242770233	+	2	241824861	241828055	+
2	242770233	242777412	+	2	241828056	241835235	+
2	242777412	242816309	+	2	241835260	241874157	+
2	242816309	243100000	+	2	241874158	242157849	+
2	243152476	243178156	+	2	242157849	242183529	-
3	60000	64026	+	3	18322	22348	+
3	64026	73073	+	3	22352	31399	+
3	73073	74815	+	3	31400	33142	+
3	74816	81721	+	3	33142	40047	+
3	81721	84087	+	3	40049	42415	+
3	84097	91785	+	3	42415	50103	+
3	91786	668453	+	3	50103	626770	+
3	668454	788255	+	3	626770	746571	+
3	788255	970259	+	3	746572	928576	+
3	970260	4940288	+	3	928576	4898604	+
3	4940289	5434014	+	3	4898604	5392329	+
3	5434015	5504334	+	3	5392329	5462648	+
3	5504335	8335815	+	3	5462648	8294128	+
3	8335816	8380658	+	3	8294128	8338970	+
3	8380658	8381302	+	3	8338971	8339615	+
3	8381302	8864925	+	3	8339616	8823239	+
3	8864925	8876884	+	3	8823240	8835199	+
3	8876884	10632176	+	3	8835200	10590492	+
3	10632177	10966942	+	3	10590492	10925257	+
3	10966943	11334336	+	3	10925257	11292650	+
3	11334336	11334337	+	3	11292756	11292757	+
3	11334337	12046238	+	3	11292863	12004764	+
3	12046264	12289311	+	3	12004764	12247811	+
3	12289311	12942851	+	3	12247812	12901352	+
3	12942852	13715671	+	3	12901352	13674171	+
3	13715671	13761036	+	3	13674172	13719537	+
3	13761036	13783732	+	3	13719538	13742234	+
3	13783732	13977202	+	3	13742235	13935705	+
3	13977203	13977408	+	3	13935705	13935910	+
3	13977409	13977528	+	3	13935910	13936029	+
3	13977529	14444243	+	3	13936029	14402743	+
3	14444244	14444249	+	3	14402743	14402748	+
3	14444250	14444276	+	3	14402748	14402774	+
3	14444277	14444285	+	3	14402774	14402782	+
3	14444286	14444308	+	3	14402782	14402804	+
3	14444309	14444318	+	3	14402804	14402813	+
3	14444319	14444326	+	3	14402813	14402820	+
3	14444327	14444329	+	3	14402820	14402822	+
3	14444330	14561629	+	3	14402822	14520121	+
3	14561629	16843766	+	3	14520122	16802259	+
3	16843767	16849480	+	3	16802259	16807972	+
3	16849480	16858000	+	3	16807978	16816498	+
3	16858001	16865150	+	3	16816498	16823647	+
3	16865150	16870419	+	3	16823651	16828920	+
3	16870421	16879855	+	3	16828920	16838354	+
3	16879858	16882650	+	3	16838354	16841146	+
3	16882653	16890634	+	3	16841146	16849127	+
3	16890635	16892519	+	3	16849127	16851011	+
3	16892521	16893251	+	3	16851011	16851741	+
3	16893253	16901102	+	3	16851741	16859590	+
3	16901106	16902906	+	3	16859590	16861390	+
3	16902906	16904012	+	3	16861394	16862500	+
3	16904012	16904220	+	3	16862501	16862709	+
3	16904221	16904630	+	3	16862709	16863118	+
3	16904630	16910247	+	3	16863119	16868736	+
3	16910247	16911950	+	3	16868744	16870447	+
3	16911950	16912121	+	3	16870448	16870619	+
3	16912122	16920005	+	3	16870619	16878502	+
3	16920005	16923525	+	3	16878507	16882027	+
3	16923525	16926406	+	3	16882032	16884913	+
3	16926407	16926446	+	3	16884913	16884952	+
3	16926446	16926521	+	3	16884953	16885028	+
3	16926522	16926524	+	3	16885028	16885030	+
3	16926525	16926539	+	3	16885030	16885044	+
3	16926540	16926543	+	3	16885044	16885047	+
3	16926547	16926552	+	3	16885047	16885052	+
3	16926552	16926561	+	3	16885054	16885063	+
3	16926562	16933938	+	3	16885063	16892439	+
3	16933938	16940332	+	3	16892440	16898834	+
3	16940333	16940380	+	3	16898834	16898881	+
3	16940380	16940394	+	3	16898882	16898896	+
3	16940394	16940415	+	3	16898897	16898918	+
3	16940415	16944376	+	3	16898919	16902880	+
3	16944376	22296492	+	3	16902884	22255000	+
3	22296492	30351531	+	3	22255001	30310040	+
3	30351532	36703319	+	3	30310040	36661827	+
3	36703319	41725081	+	3	36661828	41683590	+
3	41725082	46242679	+	3	41683590	46201187	+
3	46242679	46490735	+	3	46201188	46449244	+
3	46490735	48428445	+	3	46449245	48386955	+
3	48428446	48428943	+	3	48386955	48387452	+
3	48428944	48429054	+	3	48387452	48387562	+
3	48429054	48432612	+	3	48387566	48391124	+
3	48432612	48433507	+	3	48391135	48392030	+
3	48433508	48433950	+	3	48392030	48392472	+
3	48433950	48434476	+	3	48392475	48393001	+
3	48434476	48435260	+	3	48393012	48393796	+
3	48435261	48438206	+	3	48393796	48396741	+
3	48438207	48438888	+	3	48396741	48397422	+
3	48438888	48440259	+	3	48397423	48398794	+
3	48440263	48441820	+	3	48398794	48400351	+
3	48441820	48450712	+	3	48400413	48409305	+
3	48450713	48451301	+	3	48409305	48409893	+
3	48451302	48473022	+	3	48409893	48431613	+
3	48473023	48482909	+	3	48431613	48441499	+
3	48482910	48483442	+	3	48441499	48442031	+
3	48483442	48483688	+	3	48442032	48442278	+
3	48483688	48484673	+	3	48442279	48443264	+
3	48484673	48486595	+	3	48443265	48445187	+
3	48486595	48489585	+	3	48445191	48448181	+
3	48489586	48490842	+	3	48448181	48449437	+
3	48490843	48494295	+	3	48449437	48452889	+
3	48494295	48499736	+	3	48452895	48458336	+
3	48499736	48512818	+	3	48458337	48471419	+
3	48512826	48512985	+	3	48471419	48471578	+
3	48512987	48522850	+	3	48471578	48481441	+
3	48522860	48525141	+	3	48481441	48483722	+
3	48525141	48525648	+	3	48483770	48484277	+
3	48525649	48527632	+	3	48484277	48486260	+
3	48527632	48527641	+	3	48486287	48486296	+
3	48527641	48527659	+	3	48486350	48486368	+
3	48527659	48530448	+	3	48486406	48489195	+
3	48530448	48533402	+	3	48489196	48492150	+
3	48533405	48533722	+	3	48492150	48492467	+
3	48533722	48533733	+	3	48492471	48492482	+
3	48533733	48535332	+	3	48496300	48497899	+
3	48535333	48537298	+	3	48497899	48499864	+
3	48537298	50251835	+	3	48499865	50214402	+
3	50251835	50306757	+	3	50214403	50269325	+
3	50306757	51439997	+	3	50269326	51402566	+
3	51440000	51444613	+	3	51402566	51407179	+
3	51444613	51445417	+	3	51407180	51407984	+
3	51445422	51447945	+	3	51407984	51410507	+
3	51447961	51459327	+	3	51410507	51421873	+
3	51459327	51465782	+	3	51421876	51428331	+
3	51465783	51468001	+	3	51428331	51430549	+
3	51468001	51468970	+	3	51430550	51431519	+
3	51468970	51469528	+	3	51431520	51432078	+
3	51469528	51469582	+	3	51435518	51435572	+
3	51469585	51469591	+	3	51435572	51435578	+
3	51469591	51469737	+	3	51435581	51435727	+
3	51469738	51470309	+	3	51435727	51436298	+
3	51470310	51471301	+	3	51436298	51437289	+
3	51471301	51471389	+	3	51437290	51437378	+
3	51471390	51471393	+	3	51437378	51437381	+
3	51471396	51473474	+	3	51437381	51439459	+
3	51473475	53315149	+	3	51439459	53281133	+
3	53315153	53318574	+	3	53281133	53284554	+
3	53318574	53324767	+	3	53284556	53290749	+
3	53324773	53324819	+	3	53290749	53290795	+
3	53324825	53348697	+	3	53290795	53314667	+
3	53348697	53349786	+	3	53314668	53315757	+
3	53349786	53350624	+	3	53315758	53316596	+
3	53350624	55192385	+	3	53316597	55158358	+
3	55192386	57387036	+	3	55158358	57353008	+
3	57387161	58787430	+	3	57401434	58801703	+
3	58787430	60096219	+	3	58801704	60110493	+
3	60096220	60125244	+	3	60110493	60139517	+
3	60125245	60258337	+	3	60139517	60272609	+
3	60258338	60292767	+	3	60272609	60307038	+
3	60292768	60318067	+	3	60307038	60332337	+
3	60318068	60336030	+	3	60332337	60350299	+
3	60336031	60351862	+	3	60350299	60366130	+
3	60351863	60783218	+	3	60366130	60797485	+
3	60783218	60783869	+	3	60797497	60798148	+
3	60783870	60783961	+	3	60798148	60798239	+
3	60783961	60784445	+	3	60798240	60798724	+
3	60784445	60784488	+	3	60798728	60798771	+
3	60784488	60785211	+	3	60798775	60799498	+
3	60785211	60785799	+	3	60799508	60800096	+
3	60785800	60788485	+	3	60800096	60802781	+
3	60788486	60802409	+	3	60802781	60816704	+
3	60802409	60804736	+	3	60816705	60819032	+
3	60804736	60806676	+	3	60819044	60820984	+
3	60806679	60807193	+	3	60820984	60821498	+
3	60807193	60811898	+	3	60821499	60826204	+
3	60811898	60812015	+	3	60826212	60826329	+
3	60812015	60812465	+	3	60826344	60826794	+
3	60812465	60820559	+	3	60826804	60834898	+
3	60820561	60820924	+	3	60834898	60835261	+
3	60820925	60828283	+	3	60835261	60842619	+
3	60828283	60828299	+	3	60842629	60842645	+
3	60828308	60829331	+	3	60842645	60843668	+
3	60829340	61059610	+	3	60843668	61073938	+
3	61059611	61169874	+	3	61073938	61184201	+
3	61169875	62233577	+	3	61184201	62247903	+
3	62233578	62983573	+	3	62247903	62997898	+
3	62983574	64793401	+	3	62997898	64807725	+
3	64793401	66170269	+	3	64807726	66184594	+
3	66270270	66272625	+	3	66219844	66222199	+
3	66272626	66273944	+	3	66222199	66223517	+
3	66273944	66276914	+	3	66223518	66226488	+
3	66276914	66277305	+	3	66226491	66226882	+
3	66277306	68006580	+	3	66226882	67956156	+
3	68006580	68006914	+	3	67956162	67956496	+
3	68006914	68009238	+	3	67956497	67958821	+
3	68009238	68009565	+	3	67958823	67959150	+
3	68009565	68012844	+	3	67960424	67963703	+
3	68012846	68018755	+	3	67963703	67969612	+
3	68018758	68027679	+	3	67969612	67978533	+
3	68027681	68031963	+	3	67978533	67982815	+
3	68031964	68034578	+	3	67982815	67985429	+
3	68034578	68038226	+	3	67985435	67989083	+
3	68038226	68038567	+	3	67989085	67989426	+
3	68038573	68038833	+	3	67989426	67989686	+
3	68038833	68039786	+	3	67989695	67990648	+
3	68039790	68048432	+	3	67990648	67999290	+
3	68048436	68052793	+	3	67999290	68003647	+
3	68052793	68064435	+	3	68003650	68015292	+
3	68064436	68070329	+	3	68015292	68021185	+
3	68070332	68071989	+	3	68021185	68022842	+
3	68071989	68073950	+	3	68022844	68024805	+
3	68073956	68077902	+	3	68024805	68028751	+
3	68077902	68478096	+	3	68028752	68428946	+
3	68478097	78270572	+	3	68428946	78221421	+
3	78270572	80650492	+	3	78221422	80601342	+
3	80650493	85159855	+	3	80601342	85110704	+
3	85159855	90504854	+	3	85110705	90455704	+
3	93504854	105602144	+	3	93786010	105883300	+
3	105602147	120674049	+	3	105883300	120955202	+
3	120676240	124646708	+	3	120957393	124927861	+
3	124646708	125434713	+	3	124927864	125715869	+
3	125434713	130114409	+	3	125715870	130395566	+
3	130114410	133969438	+	3	130395566	134250594	+
3	133969438	133969490	+	3	134250595	134250647	+
3	133969490	144788988	+	3	134250648	145070146	+
3	144788990	144790781	+	3	145070146	145071937	+
3	144790781	144796303	+	3	145073031	145078553	+
3	144796303	144796630	+	3	145078554	145078881	+
3	144796653	144800385	+	3	145078881	145082613	+
3	144800386	144801372	+	3	145082613	145083599	+
3	144801375	144802525	+	3	145083599	145084749	+
3	144802525	144809006	+	3	145084751	145091232	+
3	144809013	144813893	+	3	145091232	145096112	+
3	144813893	144817371	+	3	145096113	145099591	+
3	144817405	144817416	+	3	145099591	145099602	+
3	144817420	144818609	+	3	145099602	145100791	+
3	144818623	144822268	+	3	145100791	145104436	+
3	144822268	144825461	+	3	145104437	145107630	+
3	144825461	144827007	+	3	145107666	145109212	+
3	144827008	144831320	+	3	145109212	145113524	+
3	144831320	144835613	+	3	145113527	145117820	+
3	144835613	144835957	+	3	145117821	145118165	+
3	144835960	144848145	+	3	145118165	145130350	+
3	144848145	144849228	+	3	145130351	145131434	+
3	144849228	144851445	+	3	145131438	145133655	+
3	144851447	144861833	+	3	145133655	145144041	+
3	144861834	144864354	+	3	145144041	145146561	+
3	144864354	144864407	+	3	145146563	145146616	+
3	144864408	144867359	+	3	145146616	145149567	+
3	144867359	144869118	+	3	145149574	145151333	+
3	144869120	150927918	+	3	145151333	151210131	+
3	150927919	151685241	+	3	151210131	151967453	+
3	151685242	159648679	+	3	151967453	159930890	+
3	159648679	159705759	+	3	159930891	159987971	+
3	159705759	159973842	+	3	159987972	160256055	+
3	159973843	170197789	+	3	160256055	170480001	+
3	170197790	171266911	+	3	170480001	171549122	+
3	171266912	174956991	+	3	171549122	175239201	+
3	174956991	175136004	+	3	175239202	175418215	+
3	175136004	185675415	+	3	175418216	185957627	+
3	185675416	186659166	+	3	185957627	186941377	+
3	186659166	188602082	+	3	186941378	188884294	+
3	188602083	194041961	+	3	188884294	194324172	+
3	194047251	195179559	+	3	194326522	195458830	+
3	195179559	195179705	+	3	195458842	195458988	+
3	195179706	195180651	+	3	195458988	195459933	+
3	195180651	195181955	+	3	195459935	195461239	+
3	195181955	195182265	+	3	195461241	195461551	+
3	195182268	195184793	+	3	195461551	195464076	+
3	195184794	195186980	+	3	195464076	195466262	+
3	195186981	195194122	+	3	195466262	195473403	+
3	195194122	195194123	+	3	195473417	195473418	+
3	195194126	195194149	+	3	195473418	195473441	+
3	195194156	195194289	+	3	195473441	195473574	+
3	195194289	195194600	+	3	195473581	195473892	+
3	195194600	195195597	+	3	195473897	195474894	+
3	195195605	195195614	+	3	195474894	195474903	+
3	195195621	195195646	+	3	195474903	195474928	+
3	195195646	195196564	+	3	195474933	195475851	+
3	195196564	195197222	+	3	195475852	195476510	+
3	195197223	195199024	+	3	195476510	195478311	+
3	195199024	195199370	+	3	195478349	195478695	+
3	195199372	195199373	+	3	195478695	195478696	+
3	195199373	195199673	+	3	195478698	195478998	+
3	195199673	195200281	+	3	195479006	195479614	+
3	195200281	195200285	+	3	195479628	195479632	+
3	195200285	195200956	+	3	195479645	195480316	+
3	195200956	195201430	+	3	195480343	195480817	+
3	195201430	195201797	+	3	195480844	195481211	+
3	195201797	195201805	+	3	195481213	195481221	+
3	195201810	195202054	+	3	195481221	195481465	+
3	195202054	195202404	+	3	195481502	195481852	+
3	195202406	195202409	+	3	195481852	195481855	+
3	195202409	195202514	+	3	195481857	195481962	+
3	195202514	195202670	+	3	195482000	195482156	+
3	195202670	195202676	+	3	195482158	195482164	+
3	195202676	195203468	+	3	195482200	195482992	+
3	195203468	195203472	+	3	195482994	195482998	+
3	195203472	195203844	+	3	195483061	195483433	+
