Chr37	Start37	End37	Orient37	Chr38 	Start38	End38	Orient38
1	12823044	12825207	+	1	12762896	12765059	+
1	12825209	12825384	+	1	12765059	12765234	+
1	12825385	12829894	+	1	12765234	12769743	+
1	12829894	12832505	+	1	12769752	12772363	+
1	12832506	12848144	+	1	12772363	12788001	+
1	12848144	12849600	+	1	12788003	12789459	+
1	12849608	12860726	+	1	12789459	12800577	+
1	12860726	12861874	+	1	12800578	12801726	+
1	12861877	12861891	+	1	12801726	12801740	+
1	12861891	12861983	+	1	12801743	12801835	+
1	12861983	12869488	+	1	12801847	12809352	+
1	12869491	12871349	+	1	12809352	12811210	+
1	12871350	12871855	+	1	12811210	12811715	+
1	12871856	12872969	+	1	12811715	12812828	+
1	12872970	12876216	+	1	12812828	12816074	+
1	12876216	12878146	+	1	12816354	12818284	+
1	12881216	12882360	+	1	12821354	12822498	+
1	12882361	12883820	+	1	12822498	12823957	+
1	12883821	12883988	+	1	12823957	12824124	+
1	12883988	12885842	+	1	12824130	12825984	+
1	12885843	12887862	+	1	12825984	12828003	+
1	12887863	12888604	+	1	12828003	12828744	+
1	12888604	12889181	+	1	12828745	12829322	+
1	12889181	12890868	+	1	12829326	12831013	+
1	12890868	12893718	+	1	12831014	12833864	+
1	12893718	12894233	+	1	12833865	12834380	+
1	12894233	12895951	+	1	12834382	12836100	+
1	12895953	12914805	+	1	12836100	12854952	+
1	12914806	12916607	+	1	12854952	12856753	+
1	12916608	12926646	+	1	12856753	12866791	+
1	12926646	12927352	+	1	12866803	12867509	+
1	12927352	12927509	+	1	12867515	12867672	+
1	12927509	12927612	+	1	12867680	12867783	+
1	12927612	12945848	+	1	12867791	12886027	+
1	12945851	12948745	+	1	12886027	12888921	+
1	12948747	12948772	+	1	12888921	12888946	+
1	12948776	12950691	+	1	12888946	12890861	+
1	12950692	12958917	+	1	12890861	12899086	+
1	12961906	12962174	+	1	12902075	12902343	+
1	12962186	12964422	+	1	12902343	12904579	+
1	12964423	12975319	+	1	12904579	12915475	+
1	12975319	12975376	+	1	12915491	12915548	+
1	12975376	12975422	+	1	12915552	12915598	+
1	12975422	12980386	+	1	12915602	12920566	+
1	12980837	12985660	+	1	12921017	12925840	+
1	12985668	12988744	+	1	12925840	12928916	+
1	12988746	13005810	+	1	12928916	12945980	+
1	13005810	13009210	+	1	12945984	12949384	+
1	13009210	13020647	+	1	13240970	13252407	-
1	13021693	13021860	+	1	13239722	13239889	-
1	13021910	13022159	+	1	13239473	13239722	-
1	13022570	13023398	+	1	13238235	13239063	-
1	13023399	13026362	+	1	13235272	13238235	-
1	13026659	13027049	+	1	13234586	13234976	-
1	13027660	13027664	+	1	13233966	13233970	-
1	13028009	13028014	+	1	13233610	13233615	-
1	13028014	13028019	+	1	13233597	13233602	-
1	13028971	13028972	+	1	13232646	13232647	-
1	13029033	13029034	+	1	13232586	13232587	-
1	13029269	13029298	+	1	13232335	13232364	-
1	13031260	13031275	+	1	13230361	13230376	-
1	13031446	13031448	+	1	13230186	13230188	-
1	13032147	13032149	+	1	13229486	13229488	-
1	13032772	13032774	+	1	13228862	13228864	-
1	13033702	13033715	+	1	13227924	13227937	-
1	13033889	13033899	+	1	13227745	13227755	-
1	13034882	13034902	+	1	13226749	13226769	-
1	13035221	13035227	+	1	13226423	13226429	-
1	13035435	13035437	+	1	13226215	13226217	-
1	13035514	13035516	+	1	13226138	13226140	-
1	13038679	13039020	+	1	13222685	13223026	-
1	13039023	13039038	+	1	13222670	13222685	-
1	13039039	13039096	+	1	13222613	13222670	-
1	13039096	13039098	+	1	13222609	13222611	-
1	13039100	13039338	+	1	13222371	13222609	-
1	13039347	13040143	+	1	13221575	13222371	-
1	13040143	13040794	+	1	13220923	13221574	-
1	13040794	13040824	+	1	13220892	13220922	-
1	13040831	13040848	+	1	13191047	13191064	-
1	13040944	13040993	+	1	13190876	13190925	-
1	13040998	13041005	+	1	13190866	13190873	-
1	13046906	13048756	+	1	13043969	13045819	+
1	13048757	13049272	+	1	13045819	13046334	+
1	13049272	13050209	+	1	13046349	13047286	+
1	13050210	13051056	+	1	13047286	13048132	+
1	13051056	13052998	+	1	13048138	13050080	+
1	13102998	13119541	+	1	13252407	13268950	-
1	13131274	13131570	+	1	13234976	13235272	-
1	13131959	13132574	+	1	13233971	13234586	-
1	13132574	13132925	+	1	13233615	13233966	-
1	13132925	13132931	+	1	13233602	13233608	-
1	13132933	13133883	+	1	13232647	13233597	-
1	13133886	13133945	+	1	13232587	13232646	-
1	13133948	13133951	+	1	13232583	13232586	-
1	13133952	13134171	+	1	13232364	13232583	-
1	13134204	13134714	+	1	13231825	13232335	-
1	13134721	13136166	+	1	13230376	13231821	-
1	13136180	13136353	+	1	13230188	13230361	-
1	13136353	13137051	+	1	13229488	13230186	-
1	13137054	13137676	+	1	13228864	13229486	-
1	13137679	13138112	+	1	13228429	13228862	-
1	13138114	13138260	+	1	13228283	13228429	-
1	13138273	13138604	+	1	13227937	13228268	-
1	13138618	13138787	+	1	13227755	13227924	-
1	13138807	13139783	+	1	13226769	13227745	-
1	13139809	13140129	+	1	13226429	13226749	-
1	13140134	13140340	+	1	13226217	13226423	-
1	13140344	13140419	+	1	13226140	13226215	-
1	13140423	13142020	+	1	13224541	13226138	-
1	13142561	13143622	+	1	13150615	13151676	-
1	13143622	13143967	+	1	13150268	13150613	-
1	13143968	13148484	+	1	13145752	13150268	-
1	13148499	13148971	+	1	13145280	13145752	-
1	13149450	13153212	+	1	13081987	13085749	+
1	13156891	13159050	+	1	13089444	13091603	+
1	13161185	13161212	+	1	13093714	13093741	+
1	13161212	13164139	+	1	13130120	13133047	-
1	13164140	13166715	+	1	13127545	13130120	-
1	13166720	13166890	+	1	13099245	13099415	+
1	13166891	13168949	+	1	13099415	13101473	+
1	13168949	13168953	+	1	13101480	13101484	+
1	13168953	13174049	+	1	13101485	13106581	+
1	13174053	13186707	+	1	13106581	13119235	+
1	13186708	13192763	+	1	13119235	13125290	+
1	13192763	13194994	+	1	13125314	13127545	+
