AC093642.5	q telomere
AP001464.4	q centromere
DOCK8	p telomere
DUX4L7	q telomere
LINC01001	p telomere
OR4A5	p centromere
OR4F21	p telomere
PARD6G	q telomere
PPP2R3B	p telomere
RP11-417J8.3	q centromere
SPATA31A7	q centromere
ABCB1	NA
ACVR1B	NA
ACVR2A	NA
AGBL4	NA
AJUBA	NA
AMBRA1	NA
AMER1	NA
ANKRD11	NA
APC	NA
ARHGAP35	NA
ARID1A	NA
ARID1B	NA
ARID2	NA
ASXL1	NA
ASXL2	NA
ATG7	NA
ATM	NA
ATP1A1	NA
ATP2B3	NA
ATR	NA
ATRX	NA
AXIN1	NA
AXIN2	NA
B2M	NA
BAP1	NA
BARD1	NA
BCL9L	NA
BCOR	NA
BIRC3	NA
BMPR2	NA
BRCA1	NA
BRCA2	NA
BRD7	NA
BRIP1	NA
BTK	NA
C21orf91	NA
CASP8	NA
CASZ1	NA
CBFB	NA
CBLB	NA
CCSER1	NA
CD58	NA
CDC73	NA
CDH1	NA
CDH10	NA
CDK12	NA
CDKN1A	NA
CDKN1B	NA
CDKN2A	NA
CDKN2C	NA
CEBPA	NA
CHD1	NA
CHEK1	NA
CHEK2	NA
CIC	NA
CNOT3	NA
CREBBP	NA
CSF1	NA
CSMD1	NA
CTCF	NA
CTNNA1	NA
CTNNB1	NA
CUL3	NA
CUX1	NA
CYLD	NA
DAXX	NA
DDX3X	NA
DEPDC5	NA
DIAPH2	NA
DICER1	NA
DLG2	NA
DMD	NA
DNM2	NA
DNMT3A	NA
DPYD	NA
DROSHA	NA
ELF3	NA
EML4	NA
EP300	NA
EPHA2	NA
ERBB4	NA
ERCC2	NA
ERF	NA
ETNK1	NA
ETS2	NA
EYS	NA
FAT1	NA
FAT4	NA
FBXL17	NA
FBXO11	NA
FBXW7	NA
FHIT	NA
FLT1	NA
FOSL2	NA
FOXO3	NA
FOXP1	NA
FOXQ1	NA
G6PD	NA
GATA1	NA
GATA3	NA
GMDS	NA
GPHN	NA
GPS2	NA
GRIN2A	NA
GSTP1	NA
HDHD1	NA
HLA-A	NA
HLA-B	NA
HLA-C	NA
HNF1A	NA
HNRNPA2B1	NA
HOXC13	NA
IGLL5	NA
IKZF1	NA
IL1RAPL1	NA
IL6ST	NA
IMMP2L	NA
IRF2	NA
ITGA9	NA
ITGAV	NA
JAK1	NA
JAK2	NA
JMJD4	NA
KANSL1	NA
KDM5C	NA
KDM6A	NA
KEAP1	NA
KLF4	NA
KMT2B	NA
KMT2C	NA
KMT2D	NA
KRT5	NA
KRTAP5-5	NA
LATS2	NA
LINC00290	NA
LRP1B	NA
LRRN3	NA
LSAMP	NA
LZTR1	NA
MACROD2	NA
MAP2K4	NA
MAP2K7	NA
MAP3K1	NA
MAX	NA
MED12	NA
MEGF6	NA
MEN1	NA
MGA	NA
MGMT	NA
MIPOL1	NA
MLH1	NA
MLK4	NA
MLLT4	NA
MSH2	NA
MSH6	NA
MST1R	NA
MTHFR	NA
NAALADL2	NA
NCOR1	NA
NEGR1	NA
NF1	NA
NF2	NA
NFKBIE	NA
NIPBL	NA
NOTCH1	NA
NOTCH2	NA
NRG1	NA
NSD1	NA
OR4N2	NA
PALB2	NA
PARD3	NA
PARD3B	NA
PARK2	NA
PBRM1	NA
PDE4D	NA
PHF6	NA
PHOX2B	NA
PIK3R1	NA
PIK3R4	NA
PLXNB2	NA
PML	NA
PMS2	NA
POLE	NA
POT1	NA
PPP2R1A	NA
PPP2R2A	NA
PPP6C	NA
PRDM1	NA
PRKAR1A	NA
PTCH1	NA
PTEN	NA
PTK6	NA
PTPN13	NA
PTPRB	NA
PTPRD	NA
PTPRN2	NA
RACGAP1	NA
RAD50	NA
RAD51B	NA
RARG	NA
RASA1	NA
RB1	NA
RBM10	NA
RHOB	NA
RNF111	NA
RNF43	NA
RPL10	NA
RPL22	NA
RPL5	NA
RPS6KA3	NA
RUNX1	NA
RXRA	NA
SAV1	NA
SETD2	NA
SGCZ	NA
SH2B3	NA
SIX1	NA
SIX2	NA
SMAD2	NA
SMAD3	NA
SMAD4	NA
SMARCA1	NA
SMARCA4	NA
SMARCB1	NA
SMARCD1	NA
SOCS1	NA
SOX9	NA
SPEN	NA
SPRED1	NA
SPTAN1	NA
STAG2	NA
STAT5B	NA
STK11	NA
STS	NA
SUFU	NA
TBL1XR1	NA
TBX3	NA
TCF12	NA
TCF7L2	NA
TENM1	NA
TET2	NA
TGFBR2	NA
TGIF1	NA
TMEM30A	NA
TMPRSS2	NA
TNFAIP3	NA
TNFRSF14	NA
TP53	NA
TP63	NA
TRAF7	NA
TSC1	NA
TSC2	NA
UBR5	NA
USP22	NA
USP28	NA
VHL	NA
WWC3	NA
WWOX	NA
ZBTB20	NA
ZBTB7B	NA
ZFHX3	NA
ZFP36L1	NA
ZFP36L2	NA
ZFX	NA
ZMYM3	NA
ZNF521	NA
ZNF750	NA
ZNRF3	NA
ZRSR2	NA
