Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10,Sig11,Sig12,Sig13,Sig14,Sig15,Sig16,Sig17,Sig18,Sig19,Sig20,Sig21,Sig22,Sig23,Sig24,Sig25,Sig26,Sig27,Sig28,Sig29,Sig30
0.011098326166,0.000682708227,0.022172306775,0.0365,0.014941547714,0.0017,4e-04,0.036718003777,0.012,7e-04,2e-04,0.0077,0.000334757187,1e-04,0.0013,0.0161,0.001832019172,0.050536418625,0.0107,0.001179961596,1e-04,0.001504070375,0.000453360683,0.028645992536,0.009896768001,0.00203977291,0.005205626909,0.001397438842,0.06998198728,0
0.009149340734,0.000619107232,0.017871675353,0.0309,0.008960917997,0.0028,5e-04,0.033245722246,0.0067,0.001,0.001,0.0047,0.000648736139,0.0042,0.004,0.0097,0.000342235622,0.010939824789,0.0074,0.002211505148,7e-04,0.002451011015,0.000366800484,0.020214638433,0.00699892877,0.001487162284,0.004738227415,0.000917187665,0.055152357207,0
0.001490070468,9.9278956e-05,0.002138339617,0.0183,0.002207846012,5e-04,0,0.002525311256,5e-04,3e-04,0,0.0017,3.8144594e-05,5e-04,0,0.0022,1.576225e-06,0.002288072697,5e-04,1.61691e-07,0,0,0,0.020478996485,0.001448442998,0.000283945614,0.000782697937,0,0.017846984044,0.0019673
0.006233885236,0.000323891363,0.01626514559,0.0243,0.009206905292,0.0019,4e-04,0.033598549516,0.0068,0.0092,2e-04,0.0046,0.00084665846,0.0296,0.0057,0.0088,0.003179664772,0.019424091364,0.0074,0.003008009987,6e-04,0.000922452518,0,0.024600145425,0.004966565004,0.000597865638,0.002718242455,0.000513409971,0.026804715973,0
0.006595870109,0.000677444988,0.018781725573,0.0461,0.00967490433,0.0101,0.0012,0.03172375659,0.0098,0.0031,7e-04,0.0135,0.001710089561,0.0056,0.0106,0.0159,0.001032430218,0.088768108819,0.0112,0.017377110647,0.002,0.004549692944,0.000164739382,0.063559283793,0.014832947875,0.003705850083,0.005065073268,0.001168515637,0.051410211701,0
0.007342367815,0.000213681013,0.015760457842,0.0614,0.004952300642,0.0241,6e-04,0.025505407135,0.0057,9e-04,0.0017,0.0112,0.001159256581,0.0102,0.0084,0.01,0.000421880127,0.020641390557,0.0159,0.036502462984,0.0014,0.003764473854,0.000736874802,0.033757004716,0.007822175302,0.003980723373,0.002234153344,0.000334291811,0.025825650831,0
0.00089284037,6.77046e-06,0.001963389846,0.0088,0.002800627307,0.0091,0,0.001159624303,0,7e-04,0.001,0.0028,0.000244166533,9e-04,0.0015,0.0022,0.000297462769,0.01717840248,0.0018,0.012482587542,0.0027,0.000900163331,0.000163953661,0.022428985806,0.001276976732,0.00081174197,0.000266312161,5.3651998e-05,0.014496183324,0.0022624
0.007186581642,0.000416332906,0.014722861126,0.0432,0.011013465824,0.0571,0.0013,0.028791172971,0.0091,0.016,0.0014,0.0071,0.001256768244,0.1257,0.0228,0.0084,3.1479429e-05,0.037676958929,0.0096,0.103401226249,0.0056,0.004439846231,0.000722731835,0.020086515438,0.012563654719,0.019038431345,0.003100570009,0.000186671902,0.040355074099,0
0.008232603989,0.000352013353,0.009696539676,0.0376,0.011892168979,0.0024,3e-04,0.023682328869,0.0118,0.0014,4e-04,0.0062,0.000132109643,0.0018,0.0024,0.0096,0.006535404875,0.12872415808,0.0032,0.001116123789,1e-04,0.001298370161,0.000349907495,0.054676448679,0.013465295053,0.001375311846,0.010755871858,0.002136629077,0.078046610108,0.008853
0.00575802141,0.000133816879,0.010843341116,0.0399,0.009247857495,0.0058,1e-04,0.015821896445,0.0092,0.0022,0.001,0.0056,0.000754244011,0.0114,0.0099,0.0094,0.001293803953,0.016092878663,0.0031,0.003271428605,0.0038,0.001809622152,0.000568337772,0.109945988997,0.006468298058,0.001961639088,0.012442335117,0.000429208379,0.073460914669,0.0093449
